effect,se,n_obs,study_id
-0.04,0.03361344538,28,5
-0.07,0.03743315508,28,5
-0.06,0.02298850575,28,5
-0.08,0.04060913706,28,5
-0.09,0.028125,28,5
-0.18,0.05,28,5
-0.06,0.04,22,6
-0.1,0.05882352941,22,6
-1.03,0.1910946197,50,9
-0.91,0.1467741935,50,9
-0.99,0.1604538088,50,9
-0.95,0.1374819103,50,9
-0.99,0.1604538088,50,10
-0.95,0.1374819103,50,10
-0.1235,0.04495,31,12
-0.0995,0.04557,31,12
-0.6,0.30612,957,14
-0.48,0.2449,1428,14
-0.48,0.2449,1332,14
-0.45,0.22959,1347,14
-0.44,0.22449,1287,14
-0.43,0.21939,1417,14
-0.42,0.21429,1329,14
-0.4,0.20408,850,14
-0.32,0.16327,1481,14
-0.29,0.14796,1487,14
-0.29,0.14796,1395,14
-0.12,0.17791,1425,14
-0.153,0.09386503067,28,16
-0.2189,0.0871,150,18
-0.2418,0.1237,150,18
-0.1282,0.2056,150,18
-0.2923,0.14913,134,20
-0.2121,0.10821,357,20
-0.3851,0.19648,134,20
-0.5818,0.29684,138,20
-0.6237,0.31821,138,20
-0.624,0.31837,357,20
-0.6601,0.33679,357,20
-0.7148,0.36469,134,20
-0.7897,0.40291,138,20
-0.08,0.03738317757,19,23
-0.08,0.02919708029,20,23
-0.09,0.02387267905,19,23
-0.09,0.02168674699,19,23
-0.124,0.047,79,28
-0.123,0.0017,79,28
-0.00121,0.0155,90,29
-0.00291,0.0192,90,29
-0.02773,0.0264,90,29
-0.1079,0.0341,90,29
-0.09336,0.024,90,29
-0.1132,0.0254,90,29
-0.11697,0.0262,90,29
-0.1204,0.0215,90,29
-0.10393,0.0415,90,29
-1.57,0.897,3090,32
-1.6,0.894,3090,32
-2.11,1.206,3090,32
-2.15,1.201,3090,32
-11.41,14.08641975,3090,32
-12.61,15.56790123,3090,32
-0.036,0.04390243902,54,33
-0.048,0.04285714286,54,33
-0.346,0.110543131,18,33
-0.348,0.1108280255,18,33
-0.23,0.1,32,34
-0.004,0.06666666667,1350,35
0.016,0.1333333333,1150,35
-0.022,0.1375,1150,35
-0.033,0.1941176471,1150,35
-0.055,0.4583333333,1150,35
-0.028,0.1076923077,1150,35
0.042,0.13125,1150,35
0.052,0.1793103448,1350,35
-0.183,0.1578,1150,35
-0.046,0.09387755102,1350,35
-0.053,0.1204545455,1150,35
0.049,0.1,1350,35
-0.056,0.1191489362,1350,35
-0.054,0.09310344828,1350,35
0.048,0.07058823529,1350,35
-0.059,0.09365079365,1350,35
-0.07,0.1206896552,1150,35
-0.074,0.1275862069,1350,35
0.057,0.07215189873,1350,35
-0.062,0.07654320988,1350,35
