ArticleNo,Relevant?,Strong dummy,Unsure_int,Sure,Authors,PubYear,Title,Pblshd?,Publication series name (text),Estimate,SE,t-stats,z-stats,p-value,EstimPage,Estimate.1,SE.1,t-stats.1,z-stats.1,p-value.1,Effect on DV + page (text),Shock/change in IV + page (text),EstimPreference,Multiplicator to obtain estimates in points (number),Unnamed: 25,Unnamed: 26,lagged (t-1),lagged (t-x)?,Event window start,Event window end,Length of the CAR period,day average,months (0/1),Event Start,Event End,Event_symmetry,Event_start_end_adj,Event Length,0_0,-1_0,0_1,-1_1,-3_0,0_3,-3_3,-7_0,0_7,-7_7,-14_0,0_14,-14_14,-30_0,0_30,-30_30,Type of event,Whatever comes first,Initial press annoucement,Proxy mailing date,Shareholder meeting date,13D/13G filing,Decision,Focus List,LetterDay,ThresholdReach,Objective,All,General undervaluation,Performance + governance,Governance - general,Governance - seats,Governance - rescind,Governance - renumeration,Governance - voting,Governance - other,Capital Structure,Business Strategy,Sale,Other,Outcome,Outcome - success,Outcome - unuccessful,Outvome - NA,DV (text),DV page,Market model,market-adjusted returns,FF,BHAR,Rovnice,Equal-weighted,Value-weighted,IV (text),IV page,Type of activist (text),hedge fund activism,Calpers,Other pension funds/institutions,Coalition of institutions,By individuals,Coalition/group of individuals,All.1,Group,Type of activism (text),ActivismAll,Proposals,Negotiation,Proxy,Prop_Neg/Proxy,Prop+Neg+Proxy,Litigation,ActivismOther,IV more vars,datastart_y,dataend_y,datastart_mqh,dataend_mqh,Midyear,Length,TotalObs,Daily,Monthly,Data source,Region (text),Number of countries (text),Number of firms/events,Subsample specification (text),US,Germany,Europe,Asia,Model and page (text),SE clustered/robust,SE adjustment (text),Control variables + page (text),RoA,Size,Dynamic,Estimation methodology (text),OLS,IV,Panel FE,Otherest,Impact,Cit,First year in GS,Region (text).1,Midyear.1,Concatenate,English-origin,French-origin,German-origin,Scandinavian-origin,antidirector rights,Regulatory disclosure threshold,Rule_of_Law,Cap_GDP,HHI,Sarbanes_Oxley
,Delete,,,,Authors,,Title,,Journal,,,,,,,,,,,,Delete,Delete,Delete,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,Delete,,,,,,,,,,,,,,Delete,,,,Delete,Delete,,,,,,,,Delete,Delete,Delete,,,,,,,,,Delete,,,,,,,,,,,,,,,Length,,,,Delete,Delete,,Delete,Delete,,,,,Delete,,Delete,Delete,,,,Delete,,,,,,,,Delete,,Delete,,,,,,,,,,
1.0,Odhad,0.0,0.0,1.0,Fortin et al,2014.0,Incentive alignment through performance-focused shareholder proposals on management compensation,1.0,Journal of Contemporary Accounting & Economics,1.04,,,,,13.0,1.04,,,,0.005,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.04,,0.0,0.0,-5.0,1.0,7.0,,0.0,-5.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p1, 11: pay-performance of managers",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,not mentioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,p5: shareholder proposal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,2006.0,,,2001.0,,136.0,1.0,0.0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1.0,136,performance proposals,1.0,0.0,0.0,0.0,p13: simple,0.0,0,0,0.0,1.0,0.0,p13: OLS probably,1.0,0.0,0.0,0.0,0.038,14.0,2014.0,US,2001.0,US2001,1.0,0.0,0.0,0.0,5.0,0.05,1.513365,132.14800621489871,0.07352420133899813,0.0
1.0,Odhad,0.0,0.0,1.0,Fortin et al,2014.0,Incentive alignment through performance-focused shareholder proposals on management compensation,1.0,Journal of Contemporary Accounting & Economics,1.28,,,,,13.0,1.28,,,,0.005,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.28,,0.0,0.0,-5.0,1.0,7.0,,0.0,-5.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p1, 11: pay-performance of managers",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,not mentioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,p5: shareholder proposal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,2006.0,,,2001.0,,86.0,1.0,0.0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1.0,136,performance proposals - Subsample with valid bond return,1.0,0.0,0.0,0.0,p13: simple,0.0,0,0,0.0,1.0,0.0,p13: OLS probably,1.0,0.0,0.0,0.0,0.038,14.0,2014.0,US,2001.0,US2001,1.0,0.0,0.0,0.0,5.0,0.05,1.513365,132.14800621489871,0.07352420133899813,0.0
1.0,Odhad,0.0,0.0,1.0,Fortin et al,2014.0,Incentive alignment through performance-focused shareholder proposals on management compensation,1.0,Journal of Contemporary Accounting & Economics,0.58,,,,0.22,13.0,0.58,,,,0.22,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,0.58,,0.0,0.0,-5.0,1.0,7.0,,0.0,-5.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,p2: (non-performance-focused shareholder proposals [NPSPs]).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,not mentioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,p5: shareholder proposal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,2006.0,,,2001.0,,51.0,1.0,0.0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1.0,51,non performance proposals,1.0,0.0,0.0,0.0,p13: simple,0.0,0,0,0.0,1.0,0.0,p13: OLS probably,1.0,0.0,0.0,0.0,0.038,14.0,2014.0,US,2001.0,US2001,1.0,0.0,0.0,0.0,5.0,0.05,1.513365,132.14800621489871,0.07352420133899813,0.0
1.0,Odhad,0.0,0.0,1.0,Fortin et al,2014.0,Incentive alignment through performance-focused shareholder proposals on management compensation,1.0,Journal of Contemporary Accounting & Economics,1.3,,,,0.06,13.0,1.3,,,,0.06,"p11: The mean (median) cumulative abnormal stock return is 1.04% (0.94%) for the full
sample",je v procentech,,0.01,1.3,,0.0,0.0,-5.0,1.0,7.0,,0.0,-5.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,p8: proposal filling date; shareholder proposals rule (PSPs) (Rule 14a-8),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,p2: (non-performance-focused shareholder proposals [NPSPs]).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"To test the stock market reactions as associated with the proposal filing dates, we compute the abnormal stock return around proxy filing dates based on Fama and French’s (1993, 1996) three-factor market model with a CRSP equal-weighted index.",7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,not mentioned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,p5: shareholder proposal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,2006.0,,,2001.0,,27.0,1.0,0.0,"p5: S&P 500 firms from the 2005 list; Execucomp, Compustat, CRSP, TRACE, Thomson Reuters, and Mergent Fixed Income Securities Database (FISD)",US,1.0,27,non performance proposals - Subsample with valid bond return,1.0,0.0,0.0,0.0,p13: simple,0.0,0,0,0.0,1.0,0.0,p13: OLS probably,1.0,0.0,0.0,0.0,0.038,14.0,2014.0,US,2001.0,US2001,1.0,0.0,0.0,0.0,5.0,0.05,1.513365,132.14800621489871,0.07352420133899813,0.0
2.0,Rovnice,0.0,1.0,0.0,Krishnan et al,2016.0,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1.0,Journal of Corporate Finance,-0.01,,-1.01,,,8.0,-0.01,,-1.01,,,not mentioned,,,1.0,-1.0,0.9900990099009901,0.0,0.0,-1.0,1.0,3.0,,0.0,-1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schedule 13D filing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not mentioned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2014.0,,,2012.5,,481.0,1.0,0.0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1.0,145,Most active hedge funds,1.0,0.0,0.0,0.0,p9: simple eq with panel FE,1.0,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1.0,1.0,0.0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0.0,0.0,1.0,0.0,0.357,95.0,2015.0,US,2012.5,"US2012,5",1.0,0.0,0.0,0.0,5.0,0.05,1.603192,129.2258288673141,0.05643885610506098,1.0
2.0,Rovnice,0.0,1.0,0.0,Krishnan et al,2016.0,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1.0,Journal of Corporate Finance,-0.01,,-0.96,,,8.0,-0.01,,-0.96,,,not mentioned,,,1.0,-1.0,1.0416666666666667,0.0,0.0,-1.0,1.0,3.0,,0.0,-1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schedule 13D filing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not mentioned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2014.0,,,2012.5,,481.0,1.0,0.0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1.0,145,Most active hedge funds,1.0,0.0,0.0,0.0,p9: simple eq with panel FE,1.0,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1.0,1.0,0.0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0.0,0.0,1.0,0.0,0.357,95.0,2015.0,US,2012.5,"US2012,5",1.0,0.0,0.0,0.0,5.0,0.05,1.603192,129.2258288673141,0.05643885610506098,1.0
2.0,Rovnice,0.0,1.0,0.0,Krishnan et al,2016.0,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1.0,Journal of Corporate Finance,-0.01,,-0.62,,,8.0,-0.01,,-0.62,,,not mentioned,,,1.0,-1.0,1.6129032258064517,0.0,0.0,-3.0,3.0,7.0,,0.0,-3.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Schedule 13D filing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not mentioned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2014.0,,,2012.5,,481.0,1.0,0.0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1.0,145,Most active hedge funds,1.0,0.0,0.0,0.0,p9: simple eq with panel FE,1.0,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1.0,1.0,0.0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0.0,0.0,1.0,0.0,0.357,95.0,2015.0,US,2012.5,"US2012,5",1.0,0.0,0.0,0.0,5.0,0.05,1.603192,129.2258288673141,0.05643885610506098,1.0
2.0,Rovnice,0.0,1.0,0.0,Krishnan et al,2016.0,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1.0,Journal of Corporate Finance,-0.01,,-0.7,,,8.0,-0.01,,-0.7,,,not mentioned,,,1.0,-1.0,1.4285714285714286,0.0,0.0,-3.0,3.0,7.0,,0.0,-3.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Schedule 13D filing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not mentioned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2014.0,,,2012.5,,481.0,1.0,0.0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1.0,145,Most active hedge funds,1.0,0.0,0.0,0.0,p9: simple eq with panel FE,1.0,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1.0,1.0,0.0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0.0,0.0,1.0,0.0,0.357,95.0,2015.0,US,2012.5,"US2012,5",1.0,0.0,0.0,0.0,5.0,0.05,1.603192,129.2258288673141,0.05643885610506098,1.0
2.0,Rovnice,0.0,1.0,0.0,Krishnan et al,2016.0,"The second wave of hedge fund activism: The importance of reputation, clout, and expertise",1.0,Journal of Corporate Finance,-0.01,,-0.13,,,8.0,-0.01,,-0.13,,,not mentioned,,,1.0,-1.0,7.692307692307692,0.0,0.0,-10.0,10.0,21.0,,0.0,-10.0,10.0,1.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Schedule 13D filing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"p16: Proxy Fights Initiated, Proxy fights Won, Lawsuits Initiated, Lawsuits campaigns Resulting in Board Seats, Number of Portfolio Companies in which Board Seats Held",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,"p9: CAR is either the 3-day value-weighted-market-adjusted abnormal announcement period stock return, CAR (−1, +1), or the 7-day return, CAR (−3, +3), or the 21-day period return, CAR (−10, +10),",9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",4,"p4: Most Active Hedge Funds, defined as those with at least 5 interventions during the most recent previous 3-year period",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not mentioned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2014.0,,,2012.5,,481.0,1.0,0.0,"p3: Hedge Fund Solutions (HFS), Morningstar Document Research database to search for all 13D filings",US,1.0,145,Most active hedge funds,1.0,0.0,0.0,0.0,p9: simple eq with panel FE,1.0,p9: heteroskedasticity-consistent Hedge fund-clustered standard errors,p9: β1   Hedge Funds þ β2   Market Capþ β3   ROA þ β4   Book to Market þ β5   Nasdaq‐listing þ β6   Finance Firmþ β7   Percentage of Shares Held on Filing Dateþ β8   Call Option þ β9   Put Option ,1.0,1.0,0.0,p9: These fixed effects are used to capture any year- or industry-related common effects not specifically captured by the other explanatory variables ,0.0,0.0,1.0,0.0,0.357,95.0,2015.0,US,2012.5,"US2012,5",1.0,0.0,0.0,0.0,5.0,0.05,1.603192,129.2258288673141,0.05643885610506098,1.0
