study_id,team_id,study,alpha,tstat,se,precision,sample_size,weight,year_data,year_publication,country,depvar_individual_funds,depvar_equalw_funds,depvar_valuew_funds,depvar_net_returns,depvar_gross_returns,data_cross_section,data_longitudal,data_midyear,database_default,database_cst,database_cisdm,database_handcollect,database_other,number_of_databases,market_developed,market_world,market_bull,market_bear,strategy_all,strategy_equity,strategy_events,strategy_relative_value,strategy_global,strategy_fund_of_funds,strategy_multi,strategy_other,method_iv,model_1factor,model_3factor,model_4factor,model_7factor,model_uncertainty,model_asset_based,model_other,survivorship_treated,backfilling_treated,publication_year,citations,impact_factor,top3,top5,reference,alpha_m,alpha_y,alpha_q,t_stat,t_hetero_std,aux_ts_all,se_monthly,starty,endy,n_obs_tot,n_time_series,n_cross_section,depvar_index,depvar_portfolio,market_development,fund_old,fund_young,fund_small,fund_large,lockup_restriction,country.1,market_recession,market_growth,alpha_monthly,data_monthly,method_ols,method_gmm,method_other
1,23,Eling & Faust (2010),0.64,1.74,0.367816091954023,2.71875,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.64,,,1.74,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.51,1.36,0.375,2.6666666666666665,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.51,,,1.36,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.45,1.17,0.38461538461538464,2.5999999999999996,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.45,,,1.17,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.49,2.01,0.2437810945273632,4.1020408163265305,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.49,,,2.01,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.59,2.11,0.2796208530805687,3.5762711864406778,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.59,,,2.11,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.15,1.03,0.14563106796116504,6.866666666666667,152.0,0.03333333333333333,2002.5,2010,Global funds,0,1,0,1,0,1,0,2.6026896854443837,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.15,,,1.03,,,,1996,2008,,152.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-1.27,-1.05,1.2095238095238094,0.8267716535433072,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-1.27,,,-1.05,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-1.24,-1.15,1.0782608695652174,0.9274193548387096,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-1.24,,,-1.15,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-1.35,-1.14,1.1842105263157896,0.8444444444444443,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-1.35,,,-1.14,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.89,1.23,0.7235772357723578,1.3820224719101122,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.89,,,1.23,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
