author,pubyear,country,idcountry,idstudy,invse_w,tstats_w,armel,se,invse,tstats,nobs,nobs_long,nobs_short,armel_w,se_w,se_lrun,srun,lrun,sicdata,sicres,mon,quart,annu,pan,ts,cross,length,ltotal,lmidyear,prim,sec,ter,deving,deved,lmsize,tariffs,ntb,volatility,pride,internet,armx,darmx,army,ecmyx,asp,othmod,ols,corc,tsls,gmm,othest,imcon,seas,impact,lcit,pblshd,all,ag,min,man,util,cons,trad,trans,fin,serv,total,midyear,cit,msize,quality,peer_review,preffered,indifferent,not-preffered
Alaouze (1977),1977,Australia,2,1,1.344086,1.6895,1.257,0.744,1.344086,1.6895,68,68,0,1.257,0.744,0.744,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,6.410256,5.42,0.843,0.156,6.4102564,5.42,68,68,0,0.843,0.156,0.156,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,3.003003,2.5155,0.8382,0.333,3.003003,2.5155,68,68,0,0.8382,0.333,0.333,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.849003,0.975,0.3419,0.351,2.8490028,0.975,68,68,0,0.3419,0.351,0.351,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.7057163,0.9385,1.33,1.417,0.7057163,0.9385,68,68,0,1.33,1.417,1.417,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,1,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.5875441,1.1325,1.927,1.702,0.58754407,1.1325,68,68,0,1.927,1.702,1.702,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,6.25,7.39,1.179,0.16,6.25,7.39,68,68,0,1.179,0.16,0.16,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,13.88889,2.0405,0.1463,0.072,13.888889,2.0405,68,68,0,0.1463,0.072,0.072,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,3.067485,4.6355,1.509,0.326,3.0674847,4.6355,68,68,0,1.509,0.326,0.326,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.9551098,0.956,1.001,1.047,0.95510984,0.956,68,68,0,1.001,1.047,1.047,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
