study_id,study,country,premium,se_premium,precision_premium,tstat_premium,nobs,instrument,weight,interviewer_rated_beauty,photo_rated_beauty,software_rated_beauty,self_rated_beauty,dummy_beauty,categorical_beauty,beauty_penalty,number_of_raters,salary,study_outcomes,teaching_research_outcomes,athletic_success,electoral_success,other_outcomes,male_subjects,female_subjects,mix_gender_subjects,age_subject,high_skilled_workers,prostitutes,other_dressy_occupations,non_dressy_occupation,western_culture,other_cultures,panel_data,cross_section,data_year,ols_method,iv_method,quasi_experimental_method,other_method,ageexp_control,education_control,ethnicity_control,cognitive_skill_control,noncognitive_skill_control,physicality_control,publication_year,published_study,high_quality,impact_factor,citations,interrater_pairwise,pubyear,datyear,reference
1,Ahmed et al. (2023),United States,8.910000000000002,2.960132890365449,0.3378226711560044,3.0100000000000002,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,1,0,0,0,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
1,Ahmed et al. (2023),United States,8.964,5.27294117647059,0.18964747880410526,1.6999999999999997,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,1,0,0,0,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
1,Ahmed et al. (2023),United States,2.484,3.0292682926829273,0.3301127214170692,0.8199999999999998,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,1,0,0,0,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
1,Ahmed et al. (2023),United States,9.180000000000001,4.831578947368422,0.2069716775599128,1.9,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,1,0,0,0,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
1,Ahmed et al. (2023),United States,21.6,6.467065868263474,0.1546296296296296,3.3399999999999994,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,0,0,0,1,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
1,Ahmed et al. (2023),United States,15.012000000000004,10.075167785234902,0.09925393018918197,1.49,1806,42.49705872175156,0.16666666666666666,0,0,1,0,0,1,0,4.442651256490317,1,0,0,0,0,0,0,0,1,4.06285389513073,1,0,1,0,1,0,1,0,3.7495040759303713,0,0,0,1,1,1,1,0,0,0,3.4011973816621555,1,0,0.0,1.0986122886681098,,2023,2012.5,"Ahmed, S., Ranta, M., Vahamaa, E. & S. Vahamaa (2023): Facial attractiveness and CEO compensation: Evidence from the banking industry. Journal of Economics and Business 123: art. 106095."
2,Ahn & Lee (2014),World,0.03745851769911505,1.0123923702463529,0.9877593207825763,0.03699999999999999,774,27.820855486487112,0.07142857142857142,0,1,0,0,1,0,1,2.772588722239781,0,0,0,1,0,0,0,1,0,3.2924979647388146,0,0,0,1,0,1,1,0,3.4339872044851463,1,0,0,0,1,0,0,0,0,0,3.044522437723423,1,0,1.212,0.28768207245178085,0.735,2014,2001.0,"Ahn, S. C. & Y. H. Lee (2014): Beauty and Productivity: the case of he ladies professional golf association. Contemporary Economic Policy 32(1): pp. 155-168."
2,Ahn & Lee (2014),World,0.6186006637168142,0.2674451637340312,3.739084252031866,2.313,774,27.820855486487112,0.07142857142857142,0,1,0,0,1,0,1,2.772588722239781,0,0,0,1,0,0,0,1,0,3.2924979647388146,0,0,0,1,0,1,1,0,3.4339872044851463,1,0,0,0,1,0,0,0,0,0,3.044522437723423,1,0,1.212,0.28768207245178085,0.735,2014,2001.0,"Ahn, S. C. & Y. H. Lee (2014): Beauty and Productivity: the case of he ladies professional golf association. Contemporary Economic Policy 32(1): pp. 155-168."
2,Ahn & Lee (2014),World,0.28254424778761067,0.1420534176911064,7.039605355884425,1.989,774,27.820855486487112,0.07142857142857142,0,1,0,0,1,0,1,2.772588722239781,0,0,0,1,0,0,0,1,0,3.2924979647388146,0,0,0,1,0,1,1,0,3.4339872044851463,1,0,0,0,1,0,0,0,0,0,3.044522437723423,1,0,1.212,0.28768207245178085,0.735,2014,2001.0,"Ahn, S. C. & Y. H. Lee (2014): Beauty and Productivity: the case of he ladies professional golf association. Contemporary Economic Policy 32(1): pp. 155-168."
2,Ahn & Lee (2014),World,0.00568421052631579,0.5684210526315789,1.7592592592592593,0.01,774,27.820855486487112,0.07142857142857142,0,1,0,0,1,0,1,2.772588722239781,1,0,0,0,0,0,0,1,0,3.2924979647388146,0,0,0,1,0,1,1,0,3.4339872044851463,1,0,0,0,1,0,0,0,0,0,3.044522437723423,1,0,1.212,0.28768207245178085,0.735,2014,2001.0,"Ahn, S. C. & Y. H. Lee (2014): Beauty and Productivity: the case of he ladies professional golf association. Contemporary Economic Policy 32(1): pp. 155-168."
