id,idstudy,study,b,se,tstat,start,end,avyear,panel,border,abroad,eu,oecd,canada,us,japan,spain,uscan,emerg,asym,csunits,years,nobs,disagg,nointflow,dneighbor,darea,ddiff,dactual,totalt,adjacency,language,fta,remote,gdpendog,countryfe,nozeros,plusone,ppml,tobit,ratio,avw,nores,published,impact,firstpub,yearcits,invperst,idcountry2,invpercountry,last,size,income,findev,tariff,ntb,volatility,pride,internet,ruleoflaw
1,1,McCallum (1995),3.09,0.13,23.769230769230766,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
2,1,McCallum (1995),3.11,0.16,19.4375,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,462.0,1,462,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
3,1,McCallum (1995),3.09,0.13,23.769230769230766,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
4,1,McCallum (1995),3.16,0.13,24.307692307692307,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,690.0,1,690,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
5,1,McCallum (1995),3.08,0.13,23.692307692307693,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
6,1,McCallum (1995),3.07,0.14,21.928571428571427,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
7,1,McCallum (1995),3.11,0.13,23.92307692307692,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
8,1,McCallum (1995),3.22,0.14,23.0,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
9,1,McCallum (1995),3.21,0.14,22.928571428571427,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,683.0,1,683,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,0,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
10,1,McCallum (1995),3.3,0.15,22.0,1988,1988,1988.0,0,Canada,US,0,0,1,0,0,0,0,0,0,690.0,1,690,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1.761,1995,109.78947368421052,0.1,2,0.017543859649122806,1,0.09692984776742089,0.8408333941415077,0.8068392757356011,7.15,1.425,5.011474036980049,0.65,4.59625522336157,1.1259043796648225
