idstudy,study,pub_year,effect_true,effect,se_effect,t_stat,weight,estimate_category,note_on_estimate_category,pcc,se_pcc,sample_size,weight_pcc,test_in_math,test_in_reading,test_in_writing,test_in_languages,test_in_other_subjects,class_kindergarten,class_primary_school,class_secondary_school,class_size,female_students,male_students,minority_students,disadvantaged_students,advantaged_students,general_population_students,longitudinal_data,crosssectional_data,mid_year,data_year,country,country_usa,country_scandinavia,country_other,method_experiment,method_rdd,method_instrument,method_fe,method_ols,number_of_variables,control_students_gender,control_students_age,control_students_ethnicity,control_household_income,control_parental_education,control_family_status,control_peers_ability,control_teachers_experience,control_teachers_gender,control_teachers_education,control_school_size,control_rural_population,citations,publication_year,impact_factor,top5_journal,bibliography,orige,origse,average_test_score,sd_test_score,average_class_size,sd_class_size,table_primary_study
1,Akabayashi & Nakamura (2014),2014,1,3.3614538613187626,0.8866472524943209,3.791196388261851,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",0.14284823522808707,0.03767893313845941,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,0,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",0.3359,0.0886,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.00273199435588,1.0157414912886409,-0.9871921182266009,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",-0.03758245480527898,0.03807005152430955,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1002,0.1015,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.0187436828885086,1.052768521020345,-0.967680608365019,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",-0.03689418249696683,0.03812640470217005,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1018,0.1052,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.0497663294204769,1.0147407607553516,-1.034516765285996,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",-0.04076344894431577,0.03940337200146444,647.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1049,0.1014,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.0377575630210054,1.0557707126202127,-0.9829383886255925,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",-0.03879450601908777,0.039467891851627385,647.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,1.791759469228055,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1037,0.1055,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-0.8876479830276103,1.0978013950183634,-0.8085688240656335,0.004,discounted,"On page 266, the authors state, 'Finally, a comparison between OLS and IV estimators implies a positive correlation between class size and unobserved factors, suggesting that lower-achieving students are assigned to smaller classes,' thereby implying the possibility of biased OLS results. ",-0.03445701710260056,0.042614822730048275,557.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,0,0,1,1.9459101490553132,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.0887,0.1097,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,2.996187216668168,0.9556976592912827,3.1350785340314133,0.004,neutral,,0.11850933047176374,0.03780107234486786,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,1,0,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,0,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",0.2994,0.0955,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.5811542425970961,1.0968006644850743,-1.4416058394160585,0.004,neutral,,-0.05483816670956642,0.038039639692205564,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,1,0,0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.158,0.1096,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.6462017272609006,1.125821849950464,-1.4622222222222223,0.004,neutral,,-0.05570064845855786,0.03809314864187087,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,1,0,0,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1645,0.1125,50.0,9.9927,32.32,4.72,2
1,Akabayashi & Nakamura (2014),2014,1,-1.3539884115404248,1.0387582935542947,-1.3034682080924855,0.004,neutral,,-0.04963301249698313,0.03807765482030192,692.0,0.004,0,0,0,1,0,0,1,0,3.030616675407493,0,0,0,0,0,1,0,1,2010.0,3.349904087274605,Japan,0,0,1,0,0,1,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,1,0,1.6274564179367788,2.995732273553991,0.072,0,"Akabayashi, H., & Nakamura, R. (2014). Can Small Class Policy Close the Gap? An Empirical Analysis of Class Size Effects in J apan. The Japanese Economic Review, 65(3), 253-281.",-0.1353,0.1038,50.0,9.9927,32.32,4.72,2
