idstudy,id,estimate,lowerbound,upperbound,se_low,se_up,se_lowse_up,publicationyear,asa,solarirradianceforcing,cloud,ozonforcing,volcanicforcing,icesheet,numberofmodelsineachensemble,ratingofsource,dumm_mean,dumm_median,modelling,median,m,mean,bestestimate,b,mod,dummmod
1,1,2.3,1.2,5.2,0.669,1.763,0.379,2005,0,0,0,1,0,0,1,142,0,1,0,2.3,1,,,0,,0
2,2,3.2,2.2,4.3,0.608,0.669,0.909,2006,0,1,1,1,0,0,1,131,0,1,1,3.2,1,,,0,,0
2,3,3.3,2.2,4.6,0.669,0.79,0.846,2006,0,1,1,1,0,0,1,131,0,1,1,3.3,1,,,0,,0
2,4,3.4,2.3,4.4,0.669,0.608,1.1,2006,0,1,1,1,0,0,1,131,0,1,1,3.4,1,,,0,,0
2,5,3.3,2.2,4.4,0.669,0.669,1.0,2006,0,1,1,1,0,0,17,131,0,1,1,3.3,1,,,0,,0
2,6,3.1,1.9,4.7,0.729,0.973,0.75,2006,0,1,1,1,0,0,14,131,0,1,1,3.1,1,,,0,,0
2,7,3.4,1.5,6.4,1.155,1.824,0.633,2006,0,1,1,1,0,0,14,131,0,1,1,3.4,1,,,0,,0
3,8,2.9,2.1,8.9,0.486,3.647,0.133,2006,1,1,0,1,1,0,1,135,0,0,0,,0,,,0,2.9,1
3,9,2.9,1.9,4.7,0.608,1.094,0.556,2006,1,1,0,1,1,0,1,135,0,0,0,,0,,,0,2.9,1
4,10,3.3,2.2,6.8,0.669,2.128,0.314,2005,0,1,0,0,0,0,1,135,0,0,1,,0,,3.3,1,,0
5,11,6.1,1.6,,2.736,,,2002,1,1,0,1,1,0,1,221,0,1,0,6.1,1,,,0,,0
6,12,1.43,0.94,2.04,0.298,0.371,0.803,2001,0,0,0,1,0,0,1,299,1,0,0,1.38,1,1.43,,0,,0
6,13,3.46,1.9,6.02,0.948,1.556,0.609,2001,1,1,0,1,0,0,1,299,1,0,0,3.2,1,3.46,,0,,0
6,14,7.53,2.88,17.8,2.827,6.243,0.453,2001,1,0,0,1,0,0,1,299,1,0,0,5.87,1,7.53,,0,,0
6,15,3.4,1.0,9.3,1.459,3.587,0.407,2001,1,1,0,1,0,0,3,299,1,0,0,2.04,1,3.4,,0,,0
7,16,2.9,1.9,5.3,0.608,1.459,0.417,2004,0,1,1,0,0,0,53,918,0,1,0,2.9,1,,,0,,0
7,17,3.5,2.4,5.4,0.669,1.155,0.579,2004,0,1,1,0,0,1,53,918,0,1,0,3.5,1,,,0,,0
8,18,3.8,2.3,6.3,0.912,1.52,0.6,2006,0,1,1,0,0,1,9,227,1,0,1,3.6,1,3.8,,0,,0
8,19,3.3,2.1,7.1,0.729,2.31,0.316,2006,0,1,1,0,0,1,128,227,1,0,1,3.2,1,3.3,,0,,0
9,20,2.83,1.28,6.32,0.942,2.122,0.444,2005,0,0,0,0,1,0,4,94,0,0,1,,0,,2.83,1,,0
9,21,1.54,0.3,7.73,0.754,3.763,0.2,2005,0,0,0,0,1,0,16,94,0,0,1,,0,,1.54,1,,0
9,22,3.03,1.79,5.21,0.754,1.325,0.569,2005,0,0,0,0,1,0,16,94,0,0,1,,0,,3.03,1,,0
10,23,1.5,1.0,2.3,0.304,0.486,0.625,2013,1,1,0,0,1,0,48,9,0,1,0,1.5,1,,,0,,0
11,24,3.5,2.6,4.5,0.547,0.608,0.9,2009,1,1,0,1,0,1,1,4,0,1,0,3.5,1,,,0,,0
11,25,2.4,1.7,3.4,0.426,0.608,0.7,2009,1,1,0,1,0,1,1,4,0,1,0,2.4,1,,,0,,0
