LABEL,IDSTUDY,IDAUTHOR,COUNTRY,COUNTRYA,ESTIMATE,SE,TSTAT,PRECISION,PCC,PCCSE,N,K,DF,REGRESSION,SIMULATION,RESIDENT,LIGHT,USA,PUBYEAR,DSTYEAR,PERIOD,HOUR,DAY,MONTH,DID,LOG,MAIN,CITATIONS,JOURNAL,IMPACT,WEIGHT,LATITUDE,DAYLIGHT,EUROPE,REFERENCE
ADEME (1995),1,1,France,France,-0.12,.,.,.,.,.,.,.,.,0,0,0,1,0,1995,1995,.,1,0,0,0,0,1,2,0,0.0,1.0,46.0,15.75,1,"ADEME (1995): ""Internal ADEME (French Environment and Energy Management Agency) estimate on energy savings."" In:  In K.-J. Reincke & F. van den Broek (editors), “Summer Time: Thorough examination of the implications of summer-time arrangements in the Member States of the European Union,” Commission Europeenne, Leiden."
ADEME (2010),2,1,France,France,-0.37,.,.,.,.,.,.,.,.,0,1,0,0,0,2010,2008,1,1,0,0,0,0,0,2,0,0.0,1.0,46.0,15.75,1,"ADEME (2010): Impact of the clock change (in French: Impact du changement d'heure) Energies Demain and Agence de l'environnement et de la maitrise de l'energie (ADEME), Energies Demain and Agence de l'environnement et de la maitrise de l'energie (ADEME)"
Ahuja & SenGupta (2012),3,2,India,India,-0.29,0.0029591836734693933,-97.9999999999998,337.931034482758,.,.,.,.,.,0,1,0,0,0,2012,2008,1,1,0,0,0,0,1,3,1,0.027,0.5,20.0,13.333333333333334,0,"Ahuja, D. R. & D. P. SenGupta (2012): Year-round daylight saving time will save more energy in India than corresponding DST or time zones. Energy Policy 42: pp. 657-669."
Ahuja & SenGupta (2012),3,2,India,India,-0.3,0.0030612244897959156,-98.0000000000001,326.66666666666697,.,.,.,.,.,0,1,0,0,0,2012,2008,1,1,0,0,0,0,1,3,1,0.027,0.5,20.0,13.333333333333334,0,"Ahuja, D. R. & D. P. SenGupta (2012): Year-round daylight saving time will save more energy in India than corresponding DST or time zones. Energy Policy 42: pp. 657-669."
Ahuja et al. (2007),4,2,India,India,-0.3,.,.,.,.,.,.,.,.,0,1,0,0,0,2007,2004,1,1,0,0,0,0,1,3,1,0.027,1.0,20.0,13.333333333333334,0,"Ahuja, D. R.; SenGupta, D. P. & Agrawal, V. K. (2007): Energy savings from advancing the Indian Standard Time by half an hour. Current Science 93, 298-302."
Binder (1976),5,3,USA,USA,-1.0,.,.,.,.,.,.,.,.,1,0,0,0,1,1975,1974,1,1,0,0,1,0,1,1,0,0.0,1.0,37.751,14.766666666666667,0,"Binder, R. H. (1976): Testimony of Robert H. Binder, assistant secretary for policy, plans and international affairs, U. S. Department of Transportation, before the House Subcommittee on transportation and commerce, on legislation concerning daylight saving time, June 8, 1976. U. S. Department of Transportation, U. S. Department of Transportation."
Bellerè (1996),6,4,Italy,Italy,-0.4,.,.,.,.,.,.,.,.,0,0,0,0,0,1996,1996,1,0,1,0,0,0,1,1,0,0.0,1.0,42.8333,15.333333333333334,1,"Bellerè, S. (1996): Report on the proposal for an eighth European Parliament and Council Directive on summer-time arrangements (COM(96)0106 - C4-0252/96 - 96/0082(COD)), Committee on Transport and Tourism, PE 218.712/fin."
Belzer et al. (2008),7,5,USA,USA,-0.5,0.06999999999999999,-7.142857142857143,14.285714285714286,-0.02634305880234619,.,73920,450,73470,1,0,0,0,1,2008,2006,2,1,0,0,1,1,1,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.38,0.09,-4.222222222222222,11.11111111111111,-0.020769201551976438,.,41760,450,41310,1,0,0,0,1,2008,2006,2,1,0,0,1,1,1,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.6,0.3,-2,3.333333333333333,-0.048999595755002526,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
