author,pub_year,idstudy,dep_var,exp_var,tuition,tuition_se,no_exp_var,no_obs,no_df,est_per_study,startyear,endyear,midyear,timespan,ln_timespan,cit_google,cit_repec,model,endogeneity,unemployment,income,shortrun,linear,doublelog,semilog,boxcox,country,idcountry,usa,published,ln_pub_year,ln_google,tstat,pcc,pcc_se,pcc_precsq,pcc_prec,tseries,panel,cross,instrument,ols,fe,male,female,private,public,invperst,invperstsq
Agarwal & Winkler (1985),1985,1,enrollment,tuition,0.123,0.352,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,0.3494318181818182,0.09298497246974179,0.26610333584836676,14.122102595557848,3.7579386098708225,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-0.895,0.974,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-0.9188911704312115,-0.23849722211340027,0.2595489322217339,14.844360983096445,3.852838042676651,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-1.21,0.298,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-4.060402684563758,-0.73538147792091,0.18111047968630675,30.48686996081259,5.521491642736824,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-0.468,0.222,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-2.1081081081081083,-0.49086708491149106,0.23284720694519445,18.44411979547115,4.294661778938028,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-1.523,1.304,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-1.1679447852760736,-0.29796744686115245,0.25512117577606225,15.364095021453574,3.91970598660838,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-0.87,0.204,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-4.264705882352941,-0.751699052841735,0.1762604675628896,32.187716262975776,5.673421918293736,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-1.197,0.256,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-4.67578125,-0.780784708237162,0.1669848665904039,35.86293029785156,5.988566631327697,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-1.357,0.601,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-2.257903494176373,-0.516666107736506,0.2288255937727635,19.098128189013877,4.370140522799453,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-0.223,1.229,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-0.18144833197721724,-0.048437185651531586,0.26694753885978617,14.032923497177318,3.746054390579149,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
Agarwal & Winkler (1985),1985,1,enrollment,tuition,-1.165,0.255,3,17,14,30,1954,1973,1963.5,20,2.995732273553991,105,0,OLS,0,0,0,0,0,1,0,0,USA,1,1,1,7.593374,4.663439,-4.568627450980392,-0.7736510071355615,0.16933992001679674,34.87235678585158,5.9052821089133065,1,0,0,0.2672612419124244,1,0,0,0,0,0,0.03333333333333333,0.0011111111111111111
