id,authors,time,firstn,study,title,pubn,impisi,impact,impwall,impweur,impwnon,infisi,infwall,infweur,infwnon,refrep,refrepwall,refrepweur,refrepwnon,refisi,refisiwall,refisiweur,refisiwnon,woman,usa,repec,topfive,latex,year,year2,rose,nitsch,baldwin,denardis,taglioni,tenreyro,journal,gamma,se,tstat,nobs,euro,shortrun,panel,countries,years,postwar
20,"Alesina, Barro, Tenreyro",2003,"Alberto, Robert, Silvana",Alesina et al. (2003),Optimal currency areas,NBER MA,0.0,0.03575,0.06121919,0.0,0.043377746,0.0,0.06067775,0.0,0.03993591,41,1.2418631,0.0,1.1568134,1,0.03310226,0.0,0.029033478,1,0,0,1,1,3,9,0,0,0,0,0,1,0,1.56,0.44,3.5454545,348295,0,0,1,217,37,1
25,"Micco, Stein, Ordonez",2003,"Alejandro, Ernesto, Guillermo",Micco et al. (2003),The currency union effect on trade: Early evidence from EMU,Economic Policy,1.281,1.281,2.1936164,3.8113859,0.0,1.868,1.6980679,4.1705155,0.0,22,0.6663656,0.83504564,0.0,5,0.16551128,0.27450982,0.0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0.089,0.025,3.56,2079,1,1,1,22,11,1
1,Rose,2000,Andrew,Rose (2000),"One money, one market: Estimating the effect of common currencies on trade",Economic Policy,1.281,1.281,2.1936164,0.0,1.5543187,1.868,1.6980679,0.0,1.1176072,92,1.8577465,0.0,1.7305176,94,2.074408,0.0,1.8194313,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1.21,0.14,8.642858,22948,0,0,1,186,20,1
7,Rose,2001,Andrew,Rose (2001),Currency unions and trade: The effect is large,Economic Policy,1.281,1.281,2.1936164,0.0,1.5543187,1.868,1.6980679,0.0,1.1176072,26,0.5906422,0.0,0.5501917,10,0.24826694,0.0,0.21775109,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0.74,0.05,14.8,219558,0,0,1,217,50,1
33,Rose,2004,Andrew,Rose (2004),Do we really know that the WTO increases trade?,American Economic Review,2.239,2.239,3.8341193,0.0,2.716721,4.747,4.315165,0.0,2.8400865,32,1.1631109,0.0,1.0834545,12,0.4766725,0.0,0.4180821,0,1,1,1,0,4,16,1,0,0,0,0,0,1,1.12,0.12,9.333333,234597,0,0,1,178,52,1
4,"Rose, van Wincoop",2001,"Andrew, Eric",Rose & van Wincoop (2001),National money as a barrier to international trade: The real case for monetary u,American Economic Review,2.239,2.239,3.8341193,0.0,2.716721,4.747,4.315165,0.0,2.8400865,6,0.13630205,0.0,0.12696733,23,0.5710139,0.0,0.5008275,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0.91,0.18,5.0555553,20306,0,0,1,143,10,1
2,"Rose, Engel",2002,"Andrew, Charles",Rose & Engel (2002),Currency unions and international integration,"Journal of Money, Credit, and Banking",0.947,0.947,1.6216664,0.0,1.1490552,1.353,1.2299175,0.0,0.80948746,56,1.4538885,0.0,1.3543181,21,0.59584063,0.0,0.5226026,0,1,1,1,0,2,4,1,0,0,0,0,0,1,1.21,0.37,3.2702703,4618,0,0,1,160,1,1
19,"Estevadeordal, Frantz, Taylor",2003,"Antoni, Brian, Alan",Estevadeordal et al. (2003),"The Rise And Fall Of World Trade, 1870-1939",Quarterly Journal of Economics,3.688,3.688,6.315423,0.0,4.474885,11.241,10.218406,0.0,6.7253866,109,3.3015387,0.0,3.0754306,93,3.0785098,0.0,2.7001135,0,0,0,1,0,3,9,0,0,0,0,0,0,1,0.293,0.145,2.0206897,808,0,0,1,40,3,0
34,"Subramanian, Wei",2007,"Arvind, Shang-Jin",Subramanian & Wei (2007),"The WTO promotes trade, strongly but unevenly",Journal of International Economics,1.541,1.541,2.6388469,0.0,1.8697932,2.071,1.882601,0.0,1.2390603,90,8.178123,0.0,7.618039,63,6.2563267,0.0,5.487327,0,1,1,1,0,7,49,0,0,0,0,0,0,1,0.637,0.081,7.8641977,55831,0,0,1,178,52,1
24,Saiki,2002,Ayako,Saiki (2002),Common currency as an export promoting strategy,unpublished,0.0,0.017875,0.030609595,0.0,0.021688873,0.0,0.030338874,0.0,0.019967955,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,2,4,0,0,0,0,0,0,0,0.56,0.16,3.5,95053,0,0,1,217,50,1
40,Taglioni,2004,Daria,Taglioni (2004),"Monetary union, exchange rate variability and trade",unpublished,0.0,0.017875,0.030609595,0.14207156,0.0,0.0,0.030338874,0.11470034,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,1,0,0,4,16,0,0,0,0,1,0,0,0.53,0.06332139,8.37,34892,1,0,1,18,12,1
31,"Barr, Breedon, Miles",2003,"David, Francis, David",Barr et al. (2003),Life on the outside: Economic conditions and prospects outside euroland,Economic Policy,1.281,1.281,2.1936164,3.8113859,0.0,1.868,1.6980679,4.1705155,0.0,1,0.030289346,0.03795662,0.0,1,0.03310226,0.05490196,0.0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0.25,0.033,7.5757575,13192,1,1,1,17,25,1
53,Cabasson,2003,Denis,Cabasson (2003),Survey about Monetary Unions,unpublished,0.0,0.017875,0.030609595,0.14207156,0.0,0.0,0.030338874,0.11470034,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0.63,0.24,2.625,75037,1,1,1,225,6,1
15,Levi Yeyati,2003,Eduardo,Levi Yeyati (2003),On the impact of a common currency on bilateral trade,Economics Letters,0.302,0.302,0.5171523,0.0,0.3664358,0.469,0.42633504,0.0,0.28059837,23,0.696655,0.0,0.6489441,1,0.03310226,0.0,0.029033478,0,0,1,1,0,3,9,0,0,0,0,0,0,1,0.5,0.25,2.0,22948,0,0,1,186,20,1
46,Cafiso,2008,Gianluca,Cafiso (2008),The euro's influence upon trade - Rose effect versus border effect,ECB WP,0.0,0.03575,0.06121919,0.28414312,0.0,0.0,0.06067775,0.22940068,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,8,64,0,0,0,0,0,0,0,0.163,0.015,10.866667,6069,1,1,1,24,11,1
36,Faruqee,2004,Hamid,Faruqee (2004),Measuring the Trade Effects of EMU,IMF WP,0.0,0.03575,0.06121919,0.28414312,0.0,0.0,0.06067775,0.22940068,0.0,16,0.5815554,0.7287671,0.0,0,0.0,0.0,0.0,0,1,1,0,0,4,16,0,0,0,0,0,0,0,0.082,0.018,4.5555553,2541,1,1,0,22,11,1
51,"Flam, Nordstrom",2006,"Harry, Hakan",Flam & Nordstrom (2006a),Euro Effects on the Intensive and Extensive Margins of Trade,CESifo WP,0.0,0.03575,0.06121919,0.28414312,0.0,0.0,0.06067775,0.22940068,0.0,2,0.121157385,0.15182649,0.0,0,0.0,0.0,0.0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0.232,0.024,9.666667,4161,1,1,0,20,4,1
30,"Flam, Nordstrom",2006,"Harry, Hakan",Flam & Nordstrom (2006b),Trade volume effects of the Euro: Aggregate and sector estimates,unpublished,0.0,0.017875,0.030609595,0.14207156,0.0,0.0,0.030338874,0.11470034,0.0,1,0.060578693,0.07591324,0.0,0,0.0,0.0,0.0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0.139,0.02,6.95,4732,1,1,1,20,14,1
35,"Berger, Nitsch",2008,"Helge, Volker",Berger & Nitsch (2008),Zooming out: The trade effect of the euro in historical perspective,Journal of International Money and Finance,0.709,0.709,1.2141093,2.1095023,0.0,0.755,0.6863176,1.6856205,0.0,18,3.2712493,4.099315,0.0,0,0.0,0.0,0.0,0,0,1,0,0,8,64,0,1,0,0,0,0,1,-0.001,0.036,-0.027777778,12157,1,0,1,22,56,1
49,"Tsangarides, Ewenczyk, Hulej",2006,"Charalambos, Pierre, Michal",Tsangarides et al. (2006),Stylized Facts on Bilateral Trade and Currency Unions: Implications for Africa,IMF WP,0.0,0.03575,0.06121919,0.0,0.043377746,0.0,0.06067775,0.0,0.03993591,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0.54,0.04038893,13.37,265262,0,0,1,217,55,1
45,"Baldwin, di Nino, Fontagé, de Santis, Taglioni",2008,"Charles, Virginia, Lionel, Roberto, Daria",Baldwin et al. (2008),Study on the Impact of the Euro on Trade and Foreign Direct Investment,EC WP,0.0,0.03575,0.06121919,0.28414312,0.0,0.0,0.06067775,0.22940068,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,1,0,8,64,0,0,1,0,1,0,0,0.02,0.0076923077,2.6,1785,1,1,1,15,17,1
21,Smith,2002,Christie,Smith (2002),Currency unions and gravity models revisited,unpublished,0.0,0.017875,0.030609595,0.0,0.021688873,0.0,0.030338874,0.0,0.019967955,2,0.051924594,0.0,0.048368502,0,0.0,0.0,0.0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0.38,0.1,3.8,22948,0,0,1,186,20,1
57,"Adam, Cobham",2007,"Christopher, David",Adam & Cobham (2007),Exchange rate regimes and trade,The Manchester School,0.153,0.153,0.262001,0.0,0.18564463,0.307,0.2790722,0.0,0.18367527,7,0.6360763,0.0,0.59251416,4,0.39722708,0.0,0.34840173,0,0,1,0,0,7,49,0,0,0,0,0,0,1,0.875,0.054653343,16.01,156951,0,0,1,175,25,1
12,Melitz,2001,Jacques,Melitz (2001),"Geography, trade, and currency unions",CEPR DP,0.0,0.03575,0.06121919,0.0,0.043377746,0.0,0.06067775,0.0,0.03993591,11,0.24988711,0.0,0.23277342,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.7,0.23,3.0434783,31010,0,0,1,186,20,1
23,Melitz,2008,Jacques,Melitz (2008),Language and foreign trade,European Economic Review,0.994,0.994,1.7021503,0.0,1.2060834,1.702,1.547169,0.0,1.0182909,5,0.9086804,0.0,0.84644884,0,0.0,0.0,0.0,0,0,1,1,0,8,64,0,0,0,0,0,0,1,1.38,0.16,8.625,31010,0,0,1,186,25,1
47,Frankel,2008,Jeffrey,Frankel (2008a),The Estimated Effects of the Euro on Trade: Why Are They Below Historical Effect,NBER WP,0.0,0.03575,0.06121919,0.28414312,0.0,0.0,0.06067775,0.22940068,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1,0,8,64,0,0,0,0,0,0,0,0.097,0.014,6.928571,5130,1,0,1,22,59,1
3,"Frankel, Rose",2002,"Jeffrey, Andrew",Frankel & Rose (2002),An estimate of the effect of currency unions on trade and income,Quarterly Journal of Economics,3.688,3.688,6.315423,0.0,4.474885,11.241,10.218406,0.0,6.7253866,26,0.6750197,0.0,0.62879056,4,0.11349345,0.0,0.099543355,0,1,1,1,0,2,4,1,0,0,0,0,0,1,1.36,0.18,7.5555553,31226,0,0,1,186,25,1
