id,idstudy,study,excess,se,new,mpc,mpc_se,exo_var,cumul,months,lags_include,pay_amount,pay_data_quality,dollars_year,account_cons,account_inc,ir,micro,panel,quasipan,tastes,yearfe,sepgov,seplab_total,habits,totalc,food,category,cat,ml,tsls,ols,MA_control,ES_short_run,ES_long_run,LC_not_bind,decrease,LC_bind,increase,country,annual,monthly,startyear,endyear,years,periods,obs,csunits,avyear,out,y_actual_current,y_actual_lagged,GDP_proxy,v5,v_nr,inst_c,inst_y,inst_in,inst_ir,inst_inf,inst_cy,inst_other,levels_euler_exact,levels_other,secord,es_trend,shift_dummy,switch,top,impact,pubyear2,yearcits,pubyear,countryyear
1,1,Campbell and Mankiw (1989),0.316,0.04,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
2,1,Campbell and Mankiw (1989),0.417,0.235,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
3,1,Campbell and Mankiw (1989),0.506,0.17,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
4,1,Campbell and Mankiw (1989),0.419,0.161,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
5,1,Campbell and Mankiw (1989),0.523,0.131,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
6,1,Campbell and Mankiw (1989),0.698,0.235,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
7,1,Campbell and Mankiw (1989),0.584,0.137,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
8,1,Campbell and Mankiw (1989),0.351,0.119,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
9,1,Campbell and Mankiw (1989),0.469,0.106,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,USA,0,0,1953,1986,34.0,136.0,136,1.0,1969.5,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,USA1953
10,1,Campbell and Mankiw (1989),0.616,0.215,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,1,0,0,0,0,0,0,Canada,0,0,1963,1986,24.0,96.0,96,1.0,1974.5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.016,1989,66.55555555555556,1989,Canada1963
