idstudy,study,depvar,real_pc_gdp,pc_gdp,gdp,real_gdp,ft,seft,pcc,sepcc,prec,tstat,n,t,samsize,ln_samsize,len,fddepth,fdacti1,fdacti2,fdbank,fdpricr,fdmktc,fdmkta,fdmkttr,fdother,fdnonl,fdchg,fdjoint,OLS,DOLS,IV,FE,RE,GMM,GMMSYS,GMMlev,GMM_all,Homo,Start,1960s,1970s,1980s,1990s,2000s,End,regcnt,endo,Year,Year_adj,regeap,regsa,regasi,regeu,reglac,regmena,regssa,regrow,macro,polstab,Trade,Income,Human,invest,fincri,timdum,Log,Panel,xsec,timser,journal impact,Notes,depvar_se,real_pc_gdp_se,pc_gdp_se,gdp_se,real_gdp_se,ft_se,seft_se,pcc_se,Unnamed: 81,prec_se,Unnamed: 83,n_se,t_se,samsize_se,ln_samsize_se,len_se,fddepth_se,fdacti1_se,fdacti2_se,fdbank_se,fdpricr_se,fdmktc_se,fdmkta_se,fdmkttr_se,fdother_se,fdnonl_se,fdchg_se,fdjoint_se,ols_se,dols_se,iv_se,fe_se,re_se,gmm_se,gmmsys_se,gmmlev_se,gmm_all_se,homo_se,start_se,sixtys_se,seventys_se,eightys_se,ninetys_se,mill_se,end_se,regcnt_se,endo_se,year _se,year_adj_se,regeap_se,regsa_se,regasi_se,regeu_se,reglac_se,regmena_se,regssa_se,regrow_se,macro_se,polstab_se,trade_se,income_se,human_se,invest_se,fincri_se,timdum_se,log _se,panel_se,xsec_se,timser_se,journal impact_se
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.107319306,0.068041382,0.106909181,0.067186459,14.88395164,1.591231083,13,25,226,5.420534999272286,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,0,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,14.88395164,14.88395164,0.0,0.0,0.0,1.597335364,1.012724635,1.591231083,,221.5320164,,193.4913713,372.0987909,3363.77307,80.67898079209614,14.88395164,14.88395164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.88395164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.88395164,29470.22424,0.0,0.0,14.88395154,14.88395154,14.88395154,,89.30370983,0.0,29931.62674,78.14074611,0.0,0.0,0.0,0.0,0.0,14.88395164,0.0,0.0,14.88395164,0.0,14.88395164,0.0,0.0,0.0,0.0,0.0,14.88395164,14.88395164,0.0,0.0,1.1014124213599998
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.178820432,0.068680282,0.176938468,0.067123378,14.89793925,2.636018541,13,25,222,5.402677381872279,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,0,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,14.89793925,14.89793925,0.0,0.0,0.0,2.664055925,1.023194668,2.636018541,,221.9485937,,193.6732102,372.4484811,3307.342512,80.48875942248227,14.89793925,0.0,14.89793925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89793925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89793925,29497.91971,0.0,0.0,14.89793914,14.89793914,14.89793914,,89.38763547,0.0,29959.75582,78.2141810625,0.0,0.0,0.0,0.0,0.0,14.89793925,0.0,0.0,14.89793925,0.0,14.89793925,0.0,0.0,0.0,0.0,0.0,14.89793925,14.89793925,0.0,0.0,1.1024475045
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.281353352,0.069337525,0.274157176,0.066205119,15.10457227,4.141026879,13,25,218,5.384495062789089,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,1,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,15.10457227,15.10457227,0.0,0.0,0.0,4.249722047,1.047313651,4.141026879,,228.1481036,,196.3594396,377.6143069,3292.796756,81.33049481335598,15.10457227,15.10457227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10457227,0.0,0.0,0.0,0.0,0.0,15.10457227,29907.0531,0.0,0.0,15.1045722,15.1045722,15.1045722,,90.62743365,15.10457227,30375.29484,79.2990044175,0.0,0.0,0.0,0.0,0.0,15.10457227,0.0,0.0,15.10457227,0.0,15.10457227,0.0,0.0,0.0,0.0,0.0,15.10457227,15.10457227,0.0,0.0,1.11773834798
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.282032758,0.069504805,0.274785399,0.066350189,15.07154718,4.1414411,13,25,217,5.37989735354046,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,1,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,15.07154718,15.07154718,0.0,0.0,0.0,4.250670018502523,1.0475449477941998,4.141441105403625,1.000000003915417,227.15153439896594,62.41792493184109,195.93011334,376.7886795,3270.52573806,81.08337678744218,15.07154718,0.0,15.07154718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07154718,0.0,0.0,0.0,0.0,0.0,15.07154718,29841.6634164,0.0,0.0,15.07154718,15.07154718,15.07154718,30218.4520959,90.42928308,15.07154718,30308.88137898,79.125622695,0.0,0.0,0.0,0.0,0.0,15.07154718,0.0,0.0,15.07154718,0.0,15.07154718,0.0,0.0,0.0,0.0,0.0,15.07154718,15.07154718,0.0,0.0,1.11529449132
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.281353352,0.069337525,0.274157176,0.066205119,15.10457227,4.141026879,13,25,218,5.384495062789089,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,1,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,15.10457227,15.10457227,0.0,0.0,0.0,4.2497220386907495,1.0473136573854318,4.141026878231109,1.0000000045794502,228.14810345965296,62.548439765868046,196.35943951000002,377.61430675,3292.79675486,81.33049481335598,15.10457227,15.10457227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10457227,0.0,0.0,0.0,0.0,15.10457227,29907.0530946,0.0,0.0,15.10457227,15.10457227,15.10457227,30284.66740135,90.62743362,15.10457227,30375.294834970002,79.2990044175,0.0,0.0,0.0,0.0,0.0,15.10457227,0.0,0.0,15.10457227,0.0,15.10457227,0.0,0.0,0.0,0.0,0.0,15.10457227,15.10457227,0.0,0.0,1.11773834798
1,Al-Malkawi and Abdullah (2011),1,1,0,0,0,0.282032758,0.069504805,0.274785399,0.066350189,15.07154718,4.1414411,13,25,217,5.37989735354046,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,0,1.0,1980,,,1.0,1.0,1.0,2005,6,1,2011,5.25,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,0.074,,15.07154718,15.07154718,0.0,0.0,0.0,4.250670018502523,1.0475449477941998,4.141441105403625,1.000000003915417,227.15153439896594,62.41792493184109,195.93011334,376.7886795,3270.52573806,81.08337678744218,15.07154718,0.0,15.07154718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07154718,0.0,0.0,0.0,0.0,15.07154718,29841.6634164,0.0,0.0,15.07154718,15.07154718,15.07154718,30218.4520959,90.42928308,15.07154718,30308.88137898,79.125622695,0.0,0.0,0.0,0.0,0.0,15.07154718,0.0,0.0,15.07154718,0.0,15.07154718,0.0,0.0,0.0,0.0,0.0,15.07154718,15.07154718,0.0,0.0,1.11529449132
2,Andersen (2003),2,0,1,0,0,0.397416622,0.141421356,0.377736357,0.127183959,7.862626788,2.97,60,1,60,4.0943445622221,35.0,1.0,,,,,,,,,,,,1.0,,,,,,,,0,0.0,1965,1.0,1.0,1.0,1.0,,1999,6,0,2003,-2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,,1.0,,0.019,,15.725253576,0.0,7.862626788,0.0,0.0,3.12473857813367,1.1119433420808844,2.9699999993497315,1.0000000030372937,61.8209000073752,23.35200156036,471.75760728,7.862626788,471.75760728,32.19230323422962,275.19193758,7.862626788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.862626788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15450.06163842,7.862626788,7.862626788,7.862626788,7.862626788,0.0,15717.390949212,47.175760728,0.0,15748.841456364,-21.622223667,7.862626788,7.862626788,7.862626788,7.862626788,7.862626788,7.862626788,7.862626788,7.862626788,7.862626788,0.0,7.862626788,7.862626788,7.862626788,0.0,0.0,0.0,0.0,0.0,7.862626788,0.0,0.149389908972
2,Andersen (2003),2,0,1,0,0,0.46146169,0.141421356,0.43127478,0.123929534,8.069101561,3.48,60,1,60,4.0943445622221,35.0,,,1.0,,,,,,,,,,1.0,,,,,,,,0,0.0,1965,1.0,1.0,1.0,1.0,,1999,6,0,2003,-2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,,1.0,,0.019,,16.138203122,0.0,8.069101561,0.0,0.0,3.723581243120698,1.1411432844583367,3.480000000517932,0.9999999962534025,65.11040000173264,28.08047343228,484.14609366,8.069101561,484.14609366,33.03768209829821,282.418554635,0.0,0.0,8.069101561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.069101561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15855.784567365,8.069101561,8.069101561,8.069101561,8.069101561,0.0,16130.134020439,48.414609366,0.0,16162.410426683,-22.19002929275,8.069101561,8.069101561,8.069101561,8.069101561,8.069101561,8.069101561,8.069101561,8.069101561,8.069101561,0.0,8.069101561,8.069101561,8.069101561,0.0,0.0,0.0,0.0,0.0,8.069101561,0.0,0.153312929659
2,Andersen (2003),2,0,1,0,0,0.351244084,0.141421356,0.3374784,0.129302069,7.733828289,2.61,60,1,60,4.0943445622221,35.0,,1.0,,,,,,,,,,,1.0,,,,,,,,0,0.0,1965,1.0,1.0,1.0,1.0,,1999,6,0,2003,-2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,,1.0,,0.019,,15.467656578,0.0,7.733828289,0.0,0.0,2.7164614331830923,1.0937284837015397,2.6099999968464576,0.9999999990584298,59.81210000373667,20.18529183429,464.02969734,7.733828289,464.02969734,31.6649578002266,270.683990115,0.0,7.733828289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.733828289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15196.972587885,7.733828289,7.733828289,7.733828289,7.733828289,0.0,15459.922749711,46.402969733999996,0.0,15490.858062866999,-21.26802779475,7.733828289,7.733828289,7.733828289,7.733828289,7.733828289,7.733828289,7.733828289,7.733828289,7.733828289,0.0,7.733828289,7.733828289,7.733828289,0.0,0.0,0.0,0.0,0.0,7.733828289,0.0,0.14694273749099998
2,Andersen (2003),2,0,1,0,0,0.303028654,0.141421356,0.294081794,0.131286515,7.616928515,2.24,60,1,60,4.0943445622221,35.0,1.0,,,,,,,,,,,,1.0,,,,,,,,0,0.0,1965,1.0,1.0,1.0,1.0,,1999,6,1,2003,-2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,,1.0,,0.019,,15.23385703,0.0,7.616928515,0.0,0.0,2.3081475955146686,1.0771963591463662,2.2400000024609557,0.9999999997384751,58.0176000026201,17.0619198736,457.0157109,7.616928515,457.0157109,31.18632984622471,266.592498025,7.616928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14967.264531974999,7.616928515,7.616928515,7.616928515,7.616928515,0.0,15226.240101485,45.70157109,7.616928515,15256.707815545,-20.946553416249998,7.616928515,7.616928515,7.616928515,7.616928515,7.616928515,7.616928515,7.616928515,7.616928515,7.616928515,0.0,7.616928515,7.616928515,7.616928515,0.0,0.0,0.0,0.0,0.0,7.616928515,0.0,0.144721641785
