paper,idstudy,pub_year,pub_year_dif,published,top,cite_google,lnycite,idcoeff,frisch,se,ftest,no_obs,est_per_study,byproduct,start,end,timespan,ln_timespan,daily,monthly,quarterly,annual,biannual,female,male,malefemale,married,single,wealth,industry,indivlab,usa,pooled_crosec,panel,macro,micro,quasi_exp,empr,ols,probit,nonpar_sim,2sls_iv,quantile,prime,nearretirement,ratio_wage,margin,source_member,tstat,lnpubyear,ols_mle,other,source_study_id
Carrington (1996),1,1996.0,12.0,1,1,203,1.9810014688665833,1,0.43,0.08,,61.0,2,1,1968,1984,17,2.833213344056216,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,1,0,1,1,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,1
Carrington (1996),1,1996.0,12.0,1,1,203,1.9810014688665833,2,0.52,0.05,,61.0,2,1,1968,1984,17,2.833213344056216,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,1,0,1,1,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,1
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,1,0.86,0.021772151898734177,,20763.0,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,0,1,0,0,0,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,2,2.39,0.1974880185093373,,21852.0,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,1,0,0,0,0,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,3,0.65,0.028433945756780404,,,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,0,1,0,0,1,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,4,1.08,0.08598726114649682,,,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,0,1,0,1,0,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,5,2.41,0.3813291139240506,,,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,1,0,0,0,1,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Kimmel & Kniesner (1998),2,1998.0,14.0,1,0,179,1.929289267819273,6,1.85,0.1384730538922156,,,6,0,1983,1986,4,1.3862943611198906,0,0,1,0,0,1,0,0,1,0,0.0,0,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,2
Gruber & Wise (1999),3,1999.0,15.0,1,0,437,2.8610573702273894,1,0.23,0.07,,6029.0,1,1,1960,1995,36,3.58351893845611,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,1.0,0.0,0,0,0.0,0,1,0,extensive,data_extensive.xlsx,,,,,3
Oettinger (1999),4,1999.0,15.0,1,1,265,2.3608540011180215,1,0.511,0.132,,6029.0,4,0,1996,1996,1,0.0,1,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,4
Oettinger (1999),4,1999.0,15.0,1,1,265,2.3608540011180215,2,0.48,0.143,,6029.0,4,0,1996,1996,1,0.0,1,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,4
Oettinger (1999),4,1999.0,15.0,1,1,265,2.3608540011180215,3,0.677,0.199,,6029.0,4,0,1996,1996,1,0.0,1,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,4
Oettinger (1999),4,1999.0,15.0,1,1,265,2.3608540011180215,4,0.675,0.216,,6029.0,4,0,1996,1996,1,0.0,1,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,1,0,1,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,4
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,1,0.58,0.08,,4668.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,2,0.53,0.07,,4180.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,3,0.71,0.21,,812.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,4,0.46,0.08,,3368.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,5,0.54,0.07,,2535.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,1,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,6,0.48,0.22,,1645.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,7,0.44,0.06,,1701.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,8,0.61,0.13,,2479.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,9,0.75,0.09,,613.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,1,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,10,0.58,0.84,,199.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,11,0.8,0.19,,2807.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,12,0.41,0.05,,1353.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,13,0.76,0.44,,104.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,14,0.06,0.13,,4606.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,15,0.04,0.13,,3346.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,16,-0.34,0.26,,264.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,17,0.08,0.14,,3082.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,18,0.05,0.18,,1964.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,1,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,19,0.02,0.19,,1382.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,20,0.1,0.23,,1321.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,21,0.0,1.5,,2025.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,22,-0.6,0.31,,215.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,1,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,23,0.35,0.42,,49.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
