idstudy,e,se,t,prec,longr,pubdate,cs,tscs,usdata,csection
1,-0.043,0.16412213740458012,-0.262,6.0930232558139545,0,1988,0,0,0,0
1,-0.178,0.38279569892473114,-0.465,2.612359550561798,0,1988,0,0,0,0
1,-0.243,0.3838862559241706,-0.633,2.6049382716049383,0,1988,0,0,0,0
2,-0.446,0.084,-5.309523809523809,11.904761904761903,0,1980,0,1,1,1
2,-0.394,0.098,-4.020408163265306,10.204081632653061,0,1980,0,1,1,1
2,-0.461,0.13,-3.546153846153846,7.692307692307692,0,1980,0,1,1,1
2,-0.396,0.13,-3.046153846153846,7.692307692307692,0,1980,0,1,1,1
2,-0.428,0.131,-3.2671755725190836,7.633587786259541,0,1980,0,1,1,1
2,-0.472,0.30799999999999994,-1.5324675324675328,3.246753246753247,0,1980,0,1,1,1
2,-0.43,0.308,-1.396103896103896,3.2467532467532467,0,1980,0,1,1,1
2,-0.394,0.30800000000000005,-1.279220779220779,3.2467532467532463,0,1980,0,1,1,1
3,-0.418,0.132,-3.1666666666666665,7.575757575757575,0,1981,0,1,1,1
4,-0.9,0.03082191780821918,-29.2,32.44444444444444,1,1983,0,1,0,1
4,-0.63,0.04772727272727273,-13.2,20.952380952380953,1,1983,0,1,0,1
4,-0.62,0.049999999999999996,-12.4,20.0,1,1983,0,1,0,1
4,-0.61,0.05213675213675214,-11.7,19.18032786885246,1,1983,0,1,0,1
4,-0.59,0.053636363636363635,-11.0,18.64406779661017,1,1983,0,1,0,1
4,-0.59,0.053636363636363635,-11.0,18.64406779661017,1,1983,0,1,0,1
4,-0.55,0.06875,-8.0,14.545454545454545,1,1983,0,1,0,1
5,-0.24,0.020689655172413793,-11.6,48.333333333333336,1,1997,0,1,0,1
5,-0.44,0.039927404718693285,-11.02,25.045454545454547,1,1997,0,1,0,1
5,-0.5,0.04,-12.5,25.0,1,1997,0,1,0,1
5,-0.3,0.04,-7.5,25.0,1,1997,0,1,0,1
5,-0.56,0.0823529411764706,-6.8,12.14285714285714,1,1997,0,1,0,1
5,-0.86,0.11315789473684211,-7.6,8.837209302325581,1,1997,0,1,0,1
5,-1.42,0.1595505617977528,-8.9,6.267605633802818,1,1997,0,1,0,1
5,-1.42,0.16136363636363635,-8.8,6.19718309859155,1,1997,0,1,0,1
5,-1.39,0.16547619047619047,-8.4,6.0431654676259,1,1997,0,1,0,1
5,-0.57,0.1716867469879518,-3.32,5.824561403508772,1,1997,0,0,0,0
5,-0.4,0.2,-2.0,5.0,1,1997,0,0,0,0
5,-0.71,0.23509933774834435,-3.02,4.253521126760564,1,1997,0,0,0,0
5,-0.68,0.37362637362637363,-1.82,2.676470588235294,1,1997,0,0,0,0
5,-0.96,0.4,-2.4,2.5,1,1997,0,1,0,1
5,-0.07,0.00948509485094851,-7.38,105.42857142857142,0,1997,0,1,0,1
5,-0.08,0.01,-8.0,100.0,0,1997,0,1,0,1
5,-0.09,0.010514018691588784,-8.56,95.11111111111111,0,1997,0,1,0,1
5,-0.11,0.011554621848739496,-9.52,86.54545454545455,0,1997,0,1,0,1
5,-0.23,0.017597551644988524,-13.07,56.826086956521735,0,1997,0,1,0,1
5,-0.23,0.01780185758513932,-12.92,56.17391304347826,0,1997,0,1,0,1
5,-0.2,0.01785714285714286,-11.2,55.99999999999999,0,1997,0,1,0,1
5,-0.17,0.01787592008412198,-9.51,55.941176470588225,0,1997,0,1,0,1
5,-0.15,0.021398002853067047,-7.01,46.733333333333334,0,1997,0,0,0,0
5,-0.2,0.02252252252252252,-8.88,44.4,0,1997,0,1,0,1
5,-0.29,0.039509536784741145,-7.339999999999999,25.310344827586206,0,1997,0,1,0,1
5,-0.15,0.042134831460674156,-3.56,23.733333333333334,0,1997,0,0,0,0
5,-0.15,0.0746268656716418,-2.01,13.399999999999999,0,1997,0,0,0,0
5,-0.17,0.08854166666666667,-1.92,11.294117647058822,0,1997,0,0,0,0
6,-0.414,0.10894736842105263,-3.8,9.178743961352657,1,1994,0,0,0,0
