id,idstudy,study,country,habit,se,observations,no_cross,no_years,avg_year,micro,dsge,monthly,annual,external,durable_other,food,OLS,GMM,TSLS,bayes,min_distance,ML,panel,pub_year,citations,top,impact,deep,open,secord,exact,asset_returns,mp_match,n_matched,matched,n_observables,observables,seven_observ,no_cons,no_wage
1,1,Alessie and Kapteyn (1991),Netherlands,-0.072,0.2162162162162162,3158,1579.0,2,1980.5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1991,185,0,1.033,1,0,0,0,0,0,0,,0,,0,0,0
2,1,Alessie and Kapteyn (1991),Netherlands,0.311,0.2557565789473684,3158,1579.0,2,1980.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1991,185,0,1.033,1,0,0,0,0,0,0,,0,,0,0,0
3,1,Alessie and Kapteyn (1991),Netherlands,0.515,0.10778568438677272,3158,1579.0,2,1980.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1991,185,0,1.033,1,0,0,0,0,0,0,,0,,0,0,0
4,1,Alessie and Kapteyn (1991),Netherlands,0.623,0.11759154397885994,3158,1579.0,2,1980.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1991,185,0,1.033,1,0,0,0,0,0,0,,0,,0,0,0
5,1,Alessie and Kapteyn (1991),Netherlands,0.622,0.21778711484593838,3158,1579.0,2,1980.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1991,185,0,1.033,1,0,0,0,0,0,0,,0,,0,0,0
1,2,Campbell and Mankiw (1991),US,0.222,0.18733544859245257,132,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
2,2,Campbell and Mankiw (1991),US,0.402,0.4256977418958587,132,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
3,2,Campbell and Mankiw (1991),UK,-0.054,0.039629246383831265,125,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
4,2,Campbell and Mankiw (1991),UK,-0.119,0.08347713848787126,125,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
5,2,Campbell and Mankiw (1991),UK,-0.082,0.05401631029076585,125,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
6,2,Campbell and Mankiw (1991),UK,1.12,1.5363448435740321,125,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
7,2,Campbell and Mankiw (1991),Canada,0.075,0.07014918393116026,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
8,2,Campbell and Mankiw (1991),Canada,0.026,0.026471106278437347,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
9,2,Campbell and Mankiw (1991),France,-0.034,0.024661627957582002,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
10,2,Campbell and Mankiw (1991),France,-0.179,0.14342029357092492,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
11,2,Campbell and Mankiw (1991),Japan,0.023,0.022468617203145608,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
12,2,Campbell and Mankiw (1991),Japan,0.468,0.6702153711317618,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
13,2,Campbell and Mankiw (1991),Sweden,-0.215,0.2036119818548578,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
14,2,Campbell and Mankiw (1991),Sweden,-0.213,0.19634593757489724,65,1.0,33,1969.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1991,513,0,0.648,0,0,0,0,0,0,0,,0,,0,0,0
1,3,Ferson and Constantides (1991),US,-0.427,0.065,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
2,3,Ferson and Constantides (1991),US,0.717,0.194,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
3,3,Ferson and Constantides (1991),US,-0.065,0.227,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
4,3,Ferson and Constantides (1991),US,0.642,0.215,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
5,3,Ferson and Constantides (1991),US,-0.083,0.228,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
6,3,Ferson and Constantides (1991),US,0.361,0.223,330,1.0,28,1972.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
7,3,Ferson and Constantides (1991),US,0.95,0.05,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
8,3,Ferson and Constantides (1991),US,0.95,0.08,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
9,3,Ferson and Constantides (1991),US,0.97,0.01,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
10,3,Ferson and Constantides (1991),US,0.97,0.01,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
11,3,Ferson and Constantides (1991),US,0.28,0.1,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
12,3,Ferson and Constantides (1991),US,0.21,0.15,153,1.0,39,1967.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,571,0,1.986,0,0,0,1,1,0,0,,0,,0,0,0
