study_id,experiment_id,include,bma,study,publication_year,data_year,country,cohens_d,se_cohens_d,pcc,se_pcc,t_adjusted,precision_pcc,weight,weight_pref,weight_exp,weight_exp_pref,observations,n_obs,preferred,preferred_reasoning,effect_result,effect_effort,effect_gpa,effect_charity,effect_game,effect_work,effect_positive,task_app,task_napp,task_cog,task_man,perf_quan,perf_qual,reward_scaled,framing_pos,framing_neg,all_paid,reward_own,reward_else,control_zero,control_nonzero,mot_alt,mot_rec,mot_fai,mot_mon,location_lab,location_field,crowding_out,subject_st,subject_emp,subject_mix,male,female,mid_age,data_avgyear,developed_country,ols_method,logit_method,probit_method,tobit_method,fe_method,re_method,mean_method,did_method,other_method,data_cross,data_panel,impact_factor,citations,reference
1,1,1,1,Charness & Gneezy (2009),2009,2006.3,United States,0.15211810279674393,0.18757986585055605,0.0758400013226929,0.09298191942987691,0.8156424581005587,10.754779059537036,0.25,0.25,0.5,0.5,120,4.787491742782046,1,The authors present the main results of their Studies 1 and 2 as the takeaways from the study in the conclusion on p. 926.,1,0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.5638316640393537,1.0,0.0,1.0,1.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.604047508686155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.86137707110485,4.085976312551584,"Charness, G. & Gneezy, U. (2009): “Incentives to Exercise.” Econometrica 77(3): pp. 909–931."
1,1,1,1,Charness & Gneezy (2009),2009,2006.3,United States,0.7033750553584082,0.20956816843248757,0.3317682679820673,0.08796885893463907,3.771428571428572,11.367659102444431,0.25,0.25,0.5,0.5,120,4.787491742782046,1,The authors present the main results of their Studies 1 and 2 as the takeaways from the study in the conclusion on p. 926.,1,0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.5638316640393537,1.0,0.0,1.0,1.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.604047508686155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.86137707110485,4.085976312551584,"Charness, G. & Gneezy, U. (2009): “Incentives to Exercise.” Econometrica 77(3): pp. 909–931."
1,2,1,1,Charness & Gneezy (2009),2009,2006.3,United States,-0.012389858887865403,0.1627639379307147,-0.006194810575483285,0.08137728437793952,-0.07612456747404844,12.28844151834451,0.25,0.25,0.5,0.5,156,5.049856007249537,1,The authors present the main results of their Studies 1 and 2 as the takeaways from the study in the conclusion on p. 926.,1,0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.6745866446058053,1.0,0.0,1.0,1.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.604047508686155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.86137707110485,4.085976312551584,"Charness, G. & Gneezy, U. (2009): “Incentives to Exercise.” Econometrica 77(3): pp. 909–931."
1,2,1,1,Charness & Gneezy (2009),2009,2006.3,United States,0.506611970108243,0.1732008636033058,0.24555070521915903,0.07888733063601941,3.1126760563380285,12.676306726791525,0.25,0.25,0.5,0.5,156,5.049856007249537,1,The authors present the main results of their Studies 1 and 2 as the takeaways from the study in the conclusion on p. 926.,1,0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.6745866446058053,1.0,0.0,1.0,1.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.604047508686155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.86137707110485,4.085976312551584,"Charness, G. & Gneezy, U. (2009): “Incentives to Exercise.” Econometrica 77(3): pp. 909–931."
2,3,1,1,Ariely et al. (2009a),2009,2008.3,United States,0.6773029163574664,0.250823678643888,0.320757565391419,0.10656397521309599,3.0100000000000002,9.384034313662754,0.125,0.16666666666666666,0.25,0.25,82,4.406719247264253,1,"On p. 258, the authors clearly express their view of the first study as the main one in the paper by naming the third chapter (which covers these four estimates) 'Results' and stating: 'The following section presents the results of the study.'",1,0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.17598988623722261,1.0,0.0,1.0,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
2,3,1,1,Ariely et al. (2009a),2009,2008.3,United States,-0.21794470196472268,0.23214003957997037,-0.10833103519137662,0.11403279692208386,-0.9499989311443168,8.76940693371994,0.125,0.16666666666666666,0.25,0.25,79,4.3694478524670215,1,"On p. 258, the authors clearly express their view of the first study as the main one in the paper by naming the third chapter (which covers these four estimates) 'Results' and stating: 'The following section presents the results of the study.'",1,0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.17598988623722261,1.0,0.0,1.0,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
2,3,1,1,Ariely et al. (2009a),2009,2008.3,United States,0.6345478252681789,0.24766846537332285,0.30241771859438377,0.10724062164184199,2.8199922190341877,9.324824723039752,0.125,0.16666666666666666,0.25,0.25,82,4.406719247264253,1,"On p. 258, the authors clearly express their view of the first study as the main one in the paper by naming the third chapter (which covers these four estimates) 'Results' and stating: 'The following section presents the results of the study.'",1,0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.17598988623722261,1.0,0.0,1.0,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
2,3,1,1,Ariely et al. (2009a),2009,2008.3,United States,0.14682606967715953,0.23065216393100102,0.07321600209924925,0.11440000328007695,0.64,8.741258490629367,0.125,0.16666666666666666,0.25,0.25,79,4.3694478524670215,1,"On p. 258, the authors clearly express their view of the first study as the main one in the paper by naming the third chapter (which covers these four estimates) 'Results' and stating: 'The following section presents the results of the study.'",1,0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.17598988623722261,1.0,0.0,1.0,1.0,1.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
2,4,1,1,Ariely et al. (2009a),2009,2008.3,United States,0.6911388196015597,0.27769348287737394,0.3266172411964081,0.1172322597865679,2.7860696517412937,8.530075269559692,0.125,0.16666666666666666,0.25,0.5,69,4.23410650459726,1,"The authors indicate on p. 552 that this experiment serves as a robustness check of the first experiment: 'To illustrate whether the effect found in the ""Click for Charity"" experiment also translates to a field setting, we launched a similarly designed campaign at the MIT gym, titled ""Bike for Charity.""' On p. 553, they write: 'Table 2 shows this effect in an OLS regression, with distance biked in miles as the dependent variable. It also shows that extrinsic incentives increase effort in the private condition (column 1; p < 0.01), but not in the public condition (column 2; p = 0.96), and as can be seen in column 3, this difference is statistically significant (p = 0.057).",1,0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.08961130871594068,1.0,0.0,1.0,0.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
2,4,1,1,Ariely et al. (2009a),2009,2008.3,United States,-0.01583604243558875,0.22646960446423886,-0.007917773019057254,0.11322415417251873,-0.06993006993006994,8.832037715877375,0.125,0.16666666666666666,0.25,0.5,82,4.406719247264253,1,"The authors indicate on p. 552 that this experiment serves as a robustness check of the first experiment: 'To illustrate whether the effect found in the ""Click for Charity"" experiment also translates to a field setting, we launched a similarly designed campaign at the MIT gym, titled ""Bike for Charity.""' On p. 553, they write: 'Table 2 shows this effect in an OLS regression, with distance biked in miles as the dependent variable. It also shows that extrinsic incentives increase effort in the private condition (column 1; p < 0.01), but not in the public condition (column 2; p = 0.96), and as can be seen in column 3, this difference is statistically significant (p = 0.057).",1,0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.08961130871594068,1.0,0.0,1.0,0.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.996,7.605043872042632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3666210760865205,4.096425728425925,"Ariely, D., A. Bracha, & S. Meier (2009a): “Doing good or doing well? Image motivation and monetary incentives in behaving prosocially.” American Economic Review 99(1): pp. 545–555."
