Idstudy,IdEstimate,Title,Author,Author_Affiliation,Journal_Name,Num_Citations,Year,Model_Class,Model_Paradigm,Publication_Status,Augmented_base_model,Augmentation_Description,Augmentation_Category,Ramsey_Rule,HH_Included,Firms_Included,Banks_Included,Government_Included,HH_Maximization_Type,HH_Maximized_Vars,Producer_Type,Producer_Assumption,Other_Agent_Included,Other_Agent_Assumptions,Empirical_Research,Country,Calibration_Frequency,Nominal_Friction_Type,Wage_Rigidity_Type,Money_Demand_Tech,Indexation_Type,Flexible_Price_Assumption,Exogenous_Inflation,Growth_Included,Households_discount_factor,Consumption_curvature_parameter,Disutility_of_labor,Inverse_of_labor_supply_elastici,Money_curvature_parameter,Loan_to_value_ratio,Labor_share_of_output,Depositors_discount_factor,Price_adjustment_cost,Elasticity_of_substitution_betwe,AR1_coefficient_of_TFP,Std_dev_to_TFP_shock,Zero_Lower_Bound,Results_Table,Results_Inflation,Inflation_Unit,Horizon,Results_Inflation_CI_Low,Results_Inflation_CI_High,Results_Inflation_CI_Level,Results_Inflation_Assumption,Preferred_Estimate,Reason_for_Preferred,Std_Dev_Inflation,SE_Derivation,Interest_Rate,Impact_Factor,Policy_Regime,Shock_Type,Welfare_Criterion,Steady_State_Type,Sensitivity_Type,Expectations,Sample_Size,Sample_Period_Start,Sample_Period_End,Estimator_Type,Impact_Factor_Source,Num_Citations_Source,Results_Inflation_Annualized_Pct,Unit_Mixed_In_Paper,Outlier_Flag,Manual_Review_Required,Affiliation_Class,Estimate,SE_from_CI,SE_reported,SE_bootstrap,SE,SE_source,se_is_genuine,Estimate_win,SE_win,tstat,precision,PR_Estimated_policy,PR_Friedman_rule,PR_Inflation_targeting,PR_Laissez_faire,PR_Optimized_Taylor_rule,PR_Other,PR_Ramsey,PR_Ramsey_discretion,PR_Taylor_rule,PR_Zero_inflation,SHK_Cost_push,SHK_Financial,SHK_Government_spending,SHK_Markup,SHK_Multiple,SHK_Preference,SHK_Risk_premium,SHK_TFP,SHK_Wage_markup,WC_conditional_efficient_SS,WC_consumption_equivalent,WC_first_order_approx,WC_second_order_approx,WC_unconditional,SST_deterministic,SST_stochastic,SST_transition,SEN_baseline,SEN_comparison,SEN_extension,SEN_robustness_mechanism,SEN_robustness_parameter,EXP_adaptive,EXP_boundedly_rational,EXP_heterogeneous,EXP_learning,EXP_rational,EST_Bayesian,EST_GMM,EST_calibration,NFT_Calvo_prices,NFT_Calvo_prices_and_wages,NFT_Rotemberg_prices,NFT_Taylor_contracts,NFT_flexible,NFT_information_friction,NFT_menu_cost,NFT_other,WRT_Calvo_wages,WRT_DNWR,WRT_Rotemberg_wages,WRT_Taylor_wages,WRT_none,WRT_other,WRT_search_and_matching,WRT_sticky_real_wages,MDT_CIA,MDT_MIU,MDT_cashless,MDT_none,MDT_transactions_technology,IND_hybrid,IND_none,IND_past_inflation,IND_trend_inflation,PUB_NBER_WP,PUB_preprint,PUB_published,PUB_working_paper,MC_DSGE,MP_New_Keynesian,AUG_ZLB,AUG_financial_frictions,AUG_fiscal_policy,AUG_heterogeneous_agents,AUG_labor_market_frictions,AUG_open_economy,AUG_other,HZ_long_run,HZ_short_run,FlexiblePrices,StickyPrices,ZLB,ExogInfl,Growth,Ramsey,Preferred,LCitations,LIF
9000,1,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.8925,,2.883,,,0.67,,90.4717,11.0,0.9521,0.0067,0.0,Table 2 p.352,1.8154,annual_pct,long_run,1.5402,2.239,95.0,"Optimal long-run inflation with DNWR, asymmetric wage adjustment cost, no money demand",1,Authors emphasize this as the main result for optimal inflation with DNWR and no money demand motive,0.178265,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,baseline,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,1.8154,0,,,university,1.8154,0.17826530612244895,,,0.17826530612244895,from_CI,1,1.8154,0.17826530612244895,10.183697767601604,5.60961648540355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,1,2.6390573296152584,0.9756910751556026
9000,2,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.854,,2.5932,6.21,,0.67,,117.2947,11.0,0.9564,0.0077,0.0,Table 2 p.352,0.8622,annual_pct,long_run,0.5478,1.2483,95.0,"Optimal long-run inflation with DNWR, asymmetric wage adjustment cost, with money demand",0,,0.178699,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,baseline,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,0.8622,0,,,university,0.8622,0.17869897959183675,,,0.17869897959183675,from_CI,1,0.8622,0.17869897959183675,4.824873661670235,5.596002855103497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,3,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.5502,,2.603,,,0.67,,63.9145,11.0,0.9634,0.0076,0.0,Table 2 p.352,0.001,annual_pct,long_run,-0.0606,0.0731,95.0,"Optimal long-run inflation with symmetric wage adjustment cost (no DNWR), no money demand",0,,0.034107,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,comparison,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,0.001,0,,,university,0.001,0.03410714285714286,,,0.03410714285714286,from_CI,1,0.001,0.03410714285714286,0.02931937172774869,29.319371727748692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,4,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.6687,,3.1088,6.21,,0.67,,93.701,11.0,0.9603,0.0079,0.0,Table 2 p.352,-0.0834,annual_pct,long_run,-0.1492,0.0356,95.0,"Optimal long-run inflation with symmetric wage adjustment cost (no DNWR), with money demand",0,,0.047143,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,comparison,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,-0.0834,0,,,university,-0.0834,0.04714285714285714,,,0.04714285714285714,from_CI,1,-0.0834,0.04714285714285714,-1.7690909090909093,21.212121212121215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,5,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.9366,,2.9159,,,0.67,,83.5224,11.0,0.953,0.0068,0.0,Table 3 p.357,1.7241,annual_pct,long_run,1.4689,2.1277,95.0,"Optimal long-run inflation with DNWR and asymmetric price adjustment cost, no money demand",0,,0.168061,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,1.7241,0,,,university,1.7241,0.16806122448979588,,,0.16806122448979588,from_CI,1,1.7241,0.16806122448979588,10.258761384335157,5.950212507589558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,6,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.8087,,2.6805,6.21,,0.67,,97.301,11.0,0.9557,0.0075,0.0,Table 3 p.357,0.7835,annual_pct,long_run,0.4923,1.1496,95.0,"Optimal long-run inflation with DNWR and asymmetric price adjustment cost, with money demand",0,,0.167679,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,0.7835,0,,,university,0.7835,0.16767857142857143,,,0.16767857142857143,from_CI,1,0.7835,0.16767857142857143,4.672630457933972,5.963791267305645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,7,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.6927,,2.483,,,0.67,,113.4717,11.0,0.9573,0.0079,0.0,Table 4 p.358,1.6501,annual_pct,long_run,1.3549,2.0937,95.0,"Optimal long-run inflation with DNWR, workers pay wage adjustment cost, no money demand",0,,0.188469,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,1.6501,0,,,university,1.6501,0.18846938775510208,,,0.18846938775510208,from_CI,1,1.6501,0.18846938775510208,8.755268002165671,5.305901461829993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,8,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.513,,2.5114,6.21,,0.67,,128.6022,11.0,0.9613,0.0076,0.0,Table 4 p.358,0.8165,annual_pct,long_run,0.5244,1.2271,95.0,"Optimal long-run inflation with DNWR, workers pay wage adjustment cost, with money demand",0,,0.17926,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,0.8165,0,,,university,0.8165,0.17926020408163268,,,0.17926020408163268,from_CI,1,0.8165,0.17926020408163268,4.5548313647360175,5.578482994165362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,9,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.7236,,2.6945,,,0.67,,176.4638,11.0,0.9509,0.0064,0.0,Table 5 p.359,1.084,annual_pct,long_run,0.7692,1.4893,95.0,"Optimal long-run inflation with DNWR and wage indexation to past inflation, no money demand",0,,0.183699,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,1.084,0,,,university,1.084,0.18369897959183676,,,0.18369897959183676,from_CI,1,1.084,0.18369897959183676,5.900958200249965,5.443688376614358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
9000,10,Optimal monetary policy and downward nominal wage rigidity in frictional labor markets,"Abo-Zaid, S.","Texas Tech University, Department of Economics",Journal of Economic Dynamics & Control,13.0,2013.0,DSGE,New Keynesian,published,1.0,"Labor search and matching model with downward nominal wage rigidity (DNWR) using Linex adjustment cost function, Rotemberg price stickiness, money-in-utility, and Nash bargaining over nominal wages and hours",labor_market_frictions,1.0,1.0,1.0,0.0,0.0,expected utility,"consumption, hours, real money balances",monopolistically competitive firms,"monopolistic competition with Rotemberg price adjustment costs, search and matching frictions for hiring, asymmetric Linex nominal wage adjustment costs",0.0,,0.0,US,Q,Rotemberg_prices,DNWR,MIU,none,0.0,0.0,0.0,0.99,1.6103,,2.7811,6.21,,0.67,,136.0182,11.0,0.9645,0.0073,0.0,Table 5 p.359,0.5274,annual_pct,long_run,0.3168,0.8405,95.0,"Optimal long-run inflation with DNWR and wage indexation to past inflation, with money demand",0,,0.133597,from_CI,,1.653,Ramsey,TFP,unconditional,stochastic,robustness_mechanism,rational,,1964.0,2007.0,calibration,OpenAlex_2yr_mean_citedness,OpenAlex,0.5274,0,,,university,0.5274,0.1335969387755102,,,0.1335969387755102,from_CI,1,0.5274,0.1335969387755102,3.947695245369486,7.485201451212526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,2.6390573296152584,0.9756910751556026
