study,prim_sec,grade,age,date,months,subject,country,n_study,es,se,z,p
Ardington et al. 2021,Primary,3,9.0,Mar 2021,12,Reading,South Africa,1001,-0.6535639066114207,0.06541402416524741,9.991189426909473,0.0
Ardington et al. 2021,Primary,4,10.0,Dec 2020,9,Reading,South Africa,4761,-0.6390626635961816,0.030443084426364495,20.9920471475859,0.0
Arenas and Gortazar 2022,Secondary,8,13.0,Mar 2021,12,Math,Spain,20748,-0.07913686888872516,0.015581597085766835,5.078867618840787,3.7969115251890173e-07
Arenas and Gortazar 2022,Secondary,8,13.0,Mar 2021,12,Reading,Spain,20748,-0.05673790548599882,0.015579243384407457,3.641890949773926,0.0002706427237506581
Arenas and Gortazar 2022,Secondary,8,13.0,Mar 2021,12,Reading,Spain,20748,0.02274948675492634,0.01557715372385828,1.4604392534229647,0.14416939126680162
Bazoli et al. 2022,Primary,5,10.0,Mar 2021,12,Math,Italy,34022,-0.142,0.033,4.303030303030303,1.684777965338391e-05
Bazoli et al. 2022,Secondary,8,13.0,Mar 2021,12,Math,Italy,31200,-0.291,0.068,4.279411764705881,1.8738790634298397e-05
Bazoli et al. 2022,Secondary,13,18.0,Mar 2021,12,Math,Italy,39434,-0.273,0.029,9.413793103448276,0.0
Bazoli et al. 2022,Primary,5,10.0,Mar 2021,12,Reading,Italy,33695,0.057,0.027,2.111111111111111,0.03476276262222844
Bazoli et al. 2022,Secondary,8,13.0,Mar 2021,12,Reading,Italy,31338,-0.02,0.065,0.3076923076923077,0.7583164735262904
Bazoli et al. 2022,Secondary,13,18.0,Mar 2021,12,Reading,Italy,39554,-0.316,0.023,13.73913043478261,0.0
Bielinski et al. 2021,Primary,1,6.0,Oct 2020,7,Math,United States,40000,-0.06,0.010002249746931938,5.998650455454207,1.9896411185271745e-09
Bielinski et al. 2021,Primary,2,7.0,Oct 2020,7,Math,United States,40000,-0.11,0.010007559642590196,10.991690674703726,0.0
Bielinski et al. 2021,Primary,3,8.0,Oct 2020,7,Math,United States,40000,-0.16,0.010015987220439131,15.974461276617436,0.0
Bielinski et al. 2021,Primary,4,9.0,Oct 2020,7,Math,United States,40000,-0.22,0.010030204384757073,21.933750456205516,0.0
Bielinski et al. 2021,Primary,5,10.0,Oct 2020,7,Math,United States,40000,-0.24,0.010035935432235504,23.914063778162433,0.0
Bielinski et al. 2021,Secondary,6,11.0,Oct 2020,7,Math,United States,40000,-0.21,0.01002752461976534,20.942356958771978,0.0
Bielinski et al. 2021,Secondary,7,12.0,Oct 2020,7,Math,United States,40000,-0.15,0.010014052626184865,14.978950640600608,0.0
Bielinski et al. 2021,Secondary,8,13.0,Oct 2020,7,Math,United States,40000,-0.12,0.010008995953640906,11.989214558164388,0.0
Bielinski et al. 2021,Primary,1,6.0,Oct 2020,7,Reading,United States,40000,-0.13,0.01001055692756402,12.986290467221222,0.0
Bielinski et al. 2021,Primary,2,7.0,Oct 2020,7,Reading,United States,40000,-0.08,0.01000399920031984,7.996801918720895,0.0
Bielinski et al. 2021,Primary,3,8.0,Oct 2020,7,Reading,United States,40000,-0.07,0.010003062031198247,6.997857234282775,0.0
Bielinski et al. 2021,Primary,4,9.0,Oct 2020,7,Reading,United States,40000,-0.12,0.010008995953640906,11.989214558164388,0.0
Bielinski et al. 2021,Primary,5,10.0,Oct 2020,7,Reading,United States,40000,-0.15,0.010014052626184865,14.978950640600608,0.0
Bielinski et al. 2021,Secondary,6,11.0,Oct 2020,7,Reading,United States,40000,-0.15,0.010014052626184865,14.978950640600608,0.0
Bielinski et al. 2021,Secondary,7,12.0,Oct 2020,7,Reading,United States,40000,-0.11,0.010007559642590196,10.991690674703726,0.0
Bielinski et al. 2021,Secondary,8,13.0,Oct 2020,7,Reading,United States,40000,-0.13,0.01001055692756402,12.986290467221222,0.0
Birkelund et al. 2021 ,Primary,3,8.0,May 2021,14,Math,Denmark,267523,0.020453056141696374,0.004984436649481713,4.10338370813141,0.0
Birkelund et al. 2021 ,Primary,6,11.0,May 2021,14,Math,Denmark,160626,-0.01022228333439247,0.005295912437501571,1.9302213650675446,0.0
