idstudy,n,author,elasticity,se,invse,tstat,weight,sqrtweight,inst,cells,lcells,high_cell,annual_freq,all_workers,high_exp,low_exp,high_educ,low_educ,EN,biling,top5_lang,top6_lang,male,female,both,farmers,north_america,immi,DV_log mean wage,annual,monthly,weekly,daily,hourly,national,ols_method2,experiment,time_FE,person_FE,skill_FE,impact_factor,cit_per_year,lcit_per_year,published,topfive,toptwenty,unpublished_old,journal,pub_year,lpub_year,pubyear_minyear,minyear,maxyear,country,idcountry,midyear
1,48,Akbari & Aydede (2013),0.044,0.023,43.47826086956522,1.9130434782608694,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.008,0.016,62.5,-0.5,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.004,0.028,35.714285714285715,-0.14285714285714285,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.115,0.038,26.315789473684212,-3.0263157894736845,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.005,0.014,71.42857142857143,-0.35714285714285715,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.031,0.009,111.11111111111111,-3.4444444444444446,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.05,0.025,40.0,-2.0,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.139,0.036,27.77777777777778,-3.8611111111111116,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0.176,1,1,0,0,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),0.04,0.023,43.47826086956522,1.7391304347826089,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,0,0,1,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
1,48,Akbari & Aydede (2013),-0.003,0.016,62.5,-0.1875,0.020833333333333332,0.14433756729740643,0.03125,1024,3.010299956639812,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0.176,1,0,0,1,0,0,0,1,0,0,1,1,0.128,1.8333333333333333,0.2632414347745814,1,0,0,0,Education Economics,2013,3.3038437748886547,12,2001,2001,Canada,2,2001.0
