obs,study,rg,lib,lib_cum,n,k,df,authaff,panel,endo,fixed,start,end,lagdep,speed,lags,time,wb,ebrd,comb,other,lii,lie,lip,av,cli,margeff,ic,ic12,nic,stabil,nstab,infl,inst,ninst,fact,nfact,pubpr,journal,lgoog_pa,lgoog_tot
1,1,,,4.699999809265137,26,4,22,0,0,0,0,1989,1994,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3.4918346405029297,6.028278350830078
2,2,,2.859999895095825,,60,5,55,0,1,0,0,1992,1994,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,2.131627321243286,4.653960227966309
3,3,,3.5399999618530273,,75,4,71,0,1,0,1,1992,1994,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,3.4701902866363525,6.079933166503906
4,4,,,0.36000001430511475,26,5,21,1,0,1,0,1991,1995,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2.4142889976501465,4.72738790512085
5,4,,,0.23000000417232513,26,5,21,1,0,1,0,1991,1995,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2.4142889976501465,4.72738790512085
6,4,,,0.4399999976158142,26,5,21,1,0,1,0,1991,1995,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2.4142889976501465,4.72738790512085
7,5,,,3.0999999046325684,26,6,20,0,0,0,0,1989,1995,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1.5293952226638794,3.8712010383605957
8,6,,3.7699999809265137,,149,3,146,0,1,0,0,1990,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
9,6,,4.170000076293945,,149,3,146,0,1,0,0,1990,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
10,6,,-2.700000047683716,3.2200000286102295,100,7,93,0,1,0,0,1990,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
11,6,,2.25,4.949999809265137,100,7,93,0,1,0,0,1990,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
12,6,,-2.359999895095825,3.9100000858306885,100,7,93,0,1,0,0,1990,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
13,6,,2.2300000190734863,5.230000019073486,100,7,93,0,1,0,0,1990,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.1799826622009277,4.634728908538818
14,7,,,3.6500000953674316,21,2,19,1,0,0,0,1989,1995,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
15,7,,,-0.4399999976158142,21,4,17,1,0,0,0,1989,1995,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
16,7,,,1.149999976158142,21,5,16,1,0,0,0,1989,1995,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
17,7,,,-1.6200000047683716,21,4,17,1,0,1,0,1989,1995,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
18,7,,,4.630000114440918,21,2,19,1,0,0,0,1989,1997,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
19,7,,,1.0700000524520874,21,4,17,1,0,0,0,1989,1997,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
20,7,,,1.75,21,5,16,1,0,0,0,1989,1997,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
21,7,,,-0.18000000715255737,21,4,17,1,0,1,0,1989,1997,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2.169053792953491,4.543294906616211
22,8,,-8,3.1265194416046143,156,13,143,0,1,0,0,1990,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,8,1,2,1,0,0,0,0,0,0,1.900958776473999,4.317488193511963
