Obs,ID Study,No_Eq,Study,DepVar,GDP,GDPpc,rGDP,rGDPpc,PerCap,RealGDP,Other,Growth,Log_trans,COEF_L,SE_L,COEF_S,SE_S,N,T,Sample,Rem,Rempc,RemofGDP,Growth_Rem,Log_Rem,AID,FDI,OPEN,FD,INS,OLS,FMOLS,IV,Panel,FE,RE,GMM,TS,ARDL,ECM,Cross,Start,End,Length,Variables,DF,Endogen,Year,Homogen,Single,EUR,EAP,SA,LAC,MENA,SSA,ROW,MI,LI,LMI,UMI,IT,Lags,Pub,RY,Citat,IF,Comment,TSTAT_L,TSTAT_S
1,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.56,1.472,,,120,8,593,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,9,584,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.3804347826086957,
2,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-0.889,1.432,,,88,8,472,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,9,463,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.6208100558659219,
3,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-2.446,2.53,,,74,8,74,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,11,63,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.9667984189723322,
4,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-3.365,3.336,,,120,8,593,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1970,2010,5.0,9,584,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-1.0086930455635492,
5,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.184,1.901,,,120,8,593,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1970,2010,5.0,9,584,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.0967911625460284,
6,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.669,1.533,,,93,8,536,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,9,527,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.43639921722113506,
7,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-1.159,2.651,,,66,8,379,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,11,368,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.4371935118823086,
8,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-1.326,3.513,,,93,8,536,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1970,2010,5.0,9,527,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.3774551665243382,
9,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.157,1.924,,,93,8,536,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1970,2010,5.0,9,527,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.0816008316008316,
10,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.864,1.629,,,93,8,457,0,0,1,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,9,448,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.5303867403314917,
11,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-2.403,6.042,,,93,8,457,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1970,2010,5.0,9,448,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.3977159880834161,
12,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.000584,2.16,,,93,8,457,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1970,2010,5.0,9,448,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.00027037037037037036,
13,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.1692,3.3756,,,72,8,314,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,306,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.05012442232492001,
14,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,2.3447,1.1249,,,48,8,279,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,271,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,2.084363054493733,
15,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.3204,3.3686,,,71,8,313,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,305,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.09511369708484238,
16,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,2.212,1.1121,,,46,8,276,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,10,266,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,1.9890297635104757,
17,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.2825,3.3717,,,77,8,333,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,325,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.08378562742830026,
18,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,2.6431,1.1211,,,43,8,272,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,10,262,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,2.357595218981358,
19,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,-2.4842,3.2441,,,67,8,270,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,262,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,-0.7657593785641627,
20,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,3.3153,1.2619,,,52,8,286,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,10,276,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,2.6272287819954037,
21,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.7858,3.2763,,,66,8,279,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,271,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.23984372615450358,
22,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,3.1145,1.1992,,,53,8,312,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,11,301,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,2.597148098732488,
23,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,2.6453,3.2745,,,65,8,262,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,8,254,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.8078485264925943,
24,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,3.3864,1.2923,,,52,8,291,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,12,279,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,2.620444169310532,
25,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,0.8226,3.0201,,,63,8,318,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,11,307,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,0.2723750869176518,
26,1,26,Konte M. (2018),4,0,0,0,1,1,1,0,1,0,4.1727,1.1117,,,20,8,110,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1970,2010,5.0,14,96,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,2,0.154,Finite-mixture-of-regressions results,3.7534406764414863,
27,2,4,"Kumar R.R., Stauvermann P.J., Patel A., Prasad S. (2018)",4,0,0,0,1,1,1,0,0,0,0.343,0.06730769230769232,,,1,25,25,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1990,2015,1.0,4,21,1,2018,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2017,1,0.036,Macedonia,5.095999999999999,
