AUTHOR,ID,OUTPUT,dep_var,GDP_pc,GDP_growth,GDP_nr,EXP_VAR,RES_ABUNDANCE,NATURALR,POINTR,OILR,EFFECT_SIZE,EFFECT_SIZE_SE,BETA_INTERACTION,INTERACTION_SE,INSTITUTION_MEAN,NO_EXP,NO_OBS,NO_COUNTRY,NO_TIME,INST_TYPE,INSTITUTION,INTERACTION,INVESTMENT,SCHOOLING,TOT,OPENNESS,iGDP,OLS,ENDOGENEITY,sxp,DUMMY60,DUMMY70,DUMMY80,DUMMY90,DUMMY00,YEAR,GOOGLE,IDEASREPEC,MODEL,METHOD,REVIEW,REGION,INDEX,LITERATURE,NO_STUDY,DF,SXP,SXP_SE,TSTAT,PCC,PCC_SE,prec,invperst,INVSE,SXPSE,CROSS,PANEL,TIME_SERIES,instrument,NO_OBSSE,NO_EXPSE,DFSE,NO_COUNTRYSE,NO_TIMESE,YEARSE,INDEXSE,GOOGLESE,REVIEWSE,INSTITUTIONSE,INTERACTIONSE,TOTSE,OPENNESSE,iGDPSE,INVESTMENTSE,SCHOOLINGSE,NATURALRSE,POINTRSE,OILRSE,GDPpcSE,GDPgrowthSE,GDPnrSE,CROSSSE,PANELSE,TIME_SERISSE,ENDOGENEITYSE,OLSSE,REGIONSE,DUMMY60SE,DUMMY70SE,DUMMY80SE,DUMMY90SE,DUMMY00SE,IV,IVSE,LN_NO_OBS,LN_NO_EXP,LN_NO_COUNTRY,LN_NO_TIME,LN_YEAR,LN_INDEX,LN_GOOGLE,LN_NO_OBSSE,LN_NO_EXPSE,LN_NO_COUNTRYSE,LN_NO_TIMESE,LN_YEARSE,LN_INDEXSE,LN_GOOGLESE,LN_DF,RES_ABUNDANCESE
Sachs and Warner,1,1,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-6.92,2.1097560975609757,0.0,0.0,0.0,2,95,95,1,,0,0,1,1,0,0,1,1.0,0,-6.92,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,"Jeffrey D. Sachs & Andrew M. Warner, 1995. ""Natural Resource Abundance and Economic Growth,"" NBER Working Papers 5398, National Bureau of Economic Research, Inc.",21,93.0,-6.92,2.109756,-3.2800002,-0.3220047,0.09817216,103.758415,0.04761905,10.186188,-3.2800002,1.0,0.0,0.0,0.10369517,967.6878,20.372375,947.3154,967.6878,10.186188,20321.443,0.8861983,33186.598,0.0,0.0,0.0,0.0,0.0,10.186188,10.186188,10.186188,10.186188,0.0,0.0,0.0,10.186188,0.0,10.186188,0.0,0.0,0.0,10.186188,10.186188,0.0,10.186188,0.0,0.0,0.0,,,4.564348,1.0986123,4.564348,0.6931472,7.5989003,0.08342161,8.089175,46.493305,11.190671,46.493305,7.0605273,77.403824,0.84974813,82.39786,4.543295,0.0
Sachs and Warner,1,2,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-4.687,1.8251557632398754,0.0,0.0,0.0,3,89,89,1,,0,0,1,1,0,1,1,1.0,0,-4.687,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,86.0,-4.687,1.8251557,-2.5679998,-0.26687145,0.10392191,92.59462,0.04761905,9.62261,-2.5679998,1.0,0.0,0.0,0.107832775,856.41223,28.867828,827.54443,856.41223,9.62261,19197.105,0.837167,31350.463,0.0,0.0,0.0,0.0,9.62261,9.62261,9.62261,9.62261,9.62261,0.0,0.0,0.0,9.62261,0.0,9.62261,0.0,0.0,0.0,9.62261,9.62261,0.0,9.62261,0.0,0.0,0.0,,,4.4998097,1.3862944,4.4998097,0.6931472,7.5989003,0.08342161,8.089175,43.29991,13.339769,43.29991,6.6698847,73.121254,0.8027336,77.838974,4.465908,0.0
Sachs and Warner,1,3,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-5.019,1.7354771784232366,0.0,0.0,0.0,4,88,88,1,,0,0,1,1,0,1,1,1.0,0,-5.019,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,84.0,-5.019,1.7354772,-2.892,-0.30091769,0.10405176,92.363655,0.04761905,9.610601,-2.892,1.0,0.0,0.0,0.10910895,845.7329,38.442406,807.2905,845.7329,9.610601,19173.15,0.83612233,31311.34,0.0,0.0,0.0,0.0,9.610601,9.610601,9.610601,9.610601,9.610601,0.0,0.0,0.0,9.610601,0.0,9.610601,0.0,0.0,0.0,9.610601,9.610601,0.0,9.610601,0.0,0.0,0.0,,,4.4886365,1.609438,4.4886365,0.6931472,7.5989003,0.08342161,8.089175,43.138496,15.467667,43.138496,6.6615615,73.03,0.8017318,77.74184,4.4426513,0.0
Sachs and Warner,1,4,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-7.806,2.6532970768184905,0.0,0.0,0.0,5,56,56,1,Bureaucracy,1,0,1,1,0,1,1,1.0,0,-7.806,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,51.0,-7.806,2.6532972,-2.942,-0.38090608,0.12947182,59.65536,0.04761905,7.723688,-2.942,1.0,0.0,0.0,0.14002801,432.52655,38.618443,393.9081,432.52655,7.723688,15408.758,0.6719609,25163.775,0.0,7.723688,0.0,0.0,7.723688,7.723688,7.723688,7.723688,7.723688,0.0,0.0,0.0,7.723688,0.0,7.723688,0.0,0.0,0.0,7.723688,7.723688,0.0,7.723688,0.0,0.0,0.0,,,4.0430512,1.7917595,4.0430512,0.6931472,7.5989003,0.08342161,8.089175,31.227268,13.838992,31.227268,5.353653,58.691536,0.6443225,62.478268,3.9512436,0.0
Sachs and Warner,1,5,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-7.104,2.7291586630810603,0.0,0.0,0.0,6,56,56,1,Bureaucracy,1,0,1,1,1,1,1,1.0,0,-7.104,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,50.0,-7.104,2.7291586,-2.6030002,-0.34545645,0.13271472,56.77561,0.04761905,7.5349593,-2.6030002,1.0,0.0,0.0,0.14142136,421.95773,45.209755,376.74796,421.95773,7.5349593,15032.244,0.6555415,24548.896,0.0,7.5349593,0.0,7.5349593,7.5349593,7.5349593,7.5349593,7.5349593,7.5349593,0.0,0.0,0.0,7.5349593,0.0,7.5349593,0.0,0.0,0.0,7.5349593,7.5349593,0.0,7.5349593,0.0,0.0,0.0,,,4.0430512,1.9459101,4.0430512,0.6931472,7.5989003,0.08342161,8.089175,30.464226,14.6623535,30.464226,5.222836,57.257404,0.6285784,60.951607,3.9318256,0.0
Sachs and Warner,1,6,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-5.925,2.6182059213433497,0.0,0.0,0.0,7,40,40,1,Bureaucracy,1,0,1,1,1,1,1,1.0,0,-5.925,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,33.0,-5.925,2.618206,-2.263,-0.36652318,0.1619634,38.12117,0.04761905,6.1742344,-2.263,1.0,0.0,0.0,0.17407766,246.96938,43.21964,203.74973,246.96938,6.1742344,12317.598,0.53715837,20115.656,0.0,6.1742344,0.0,6.1742344,6.1742344,6.1742344,6.1742344,6.1742344,6.1742344,0.0,0.0,0.0,6.1742344,0.0,6.1742344,0.0,0.0,0.0,6.1742344,6.1742344,0.0,6.1742344,0.0,0.0,0.0,,,3.713572,2.0794415,3.713572,0.6931472,7.5989003,0.08342161,8.089175,22.928463,12.83896,22.928463,4.279653,46.917393,0.5150646,49.94446,3.5263605,0.0
Sachs and Warner,1,7,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-4.687,1.8251557632398754,0.0,0.0,0.0,3,89,89,1,,0,0,1,1,0,1,1,1.0,0,-4.687,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,86.0,-4.687,1.8251557,-2.5679998,-0.26687145,0.10392191,92.59462,0.04761905,9.62261,-2.5679998,1.0,0.0,0.0,0.107832775,856.41223,28.867828,827.54443,856.41223,9.62261,19197.105,0.837167,31350.463,0.0,0.0,0.0,0.0,9.62261,9.62261,9.62261,9.62261,9.62261,0.0,0.0,0.0,9.62261,0.0,9.62261,0.0,0.0,0.0,9.62261,9.62261,0.0,9.62261,0.0,0.0,0.0,,,4.4998097,1.3862944,4.4998097,0.6931472,7.5989003,0.08342161,8.089175,43.29991,13.339769,43.29991,6.6698847,73.121254,0.8027336,77.838974,4.465908,0.0
Sachs and Warner,1,8,Average GDP growth 1970-89,0,1,0,Mineral Production/GDP in 1971 (SNR),0.0,0,1,0,-3.742,1.5559251559251561,0.0,0.0,0.0,4,100,100,1,,0,0,1,1,0,1,1,1.0,0,-3.742,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,96.0,-3.742,1.5559251,-2.4050002,-0.23838301,0.099119745,101.784035,0.04761905,10.088807,-2.4050002,1.0,0.0,0.0,0.10206208,1008.88074,40.35523,968.5255,1008.88074,10.088807,20127.17,0.87772626,32869.332,0.0,0.0,0.0,0.0,10.088807,10.088807,10.088807,10.088807,0.0,0.0,0.0,0.0,10.088807,0.0,10.088807,0.0,0.0,0.0,10.088807,10.088807,0.0,10.088807,0.0,0.0,0.0,,,4.6151204,1.609438,4.6151204,0.6931472,7.5989003,0.08342161,8.089175,46.56106,16.237309,46.56106,6.993028,76.66384,0.84162456,81.61013,4.574711,0.0
Sachs and Warner,1,9,Average GDP growth 1970-89,0,1,0,Primary export/ Total Export in 1971 (PXI71),0.0,1,0,0,-2.189,0.7100227051573142,0.0,0.0,0.0,3,97,97,1,,0,0,1,1,0,1,1,1.0,0,-2.189,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,94.0,-2.189,0.7100227,-3.083,-0.3030352,0.09829231,103.50489,0.04761905,10.173736,-3.083,1.0,0.0,0.0,0.10314213,986.85236,30.521206,956.3311,986.85236,10.173736,20296.602,0.88511497,33146.03,0.0,0.0,0.0,0.0,10.173736,10.173736,10.173736,10.173736,10.173736,0.0,0.0,0.0,10.173736,0.0,10.173736,0.0,0.0,0.0,10.173736,10.173736,0.0,10.173736,0.0,0.0,0.0,,,4.5849676,1.3862944,4.5849676,0.6931472,7.5989003,0.08342161,8.089175,46.646248,14.103792,46.646248,7.051896,77.309204,0.8487094,82.29713,4.553877,0.0
Sachs and Warner,1,10,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-5.89,2.6424405563032747,0.0,0.0,0.0,4,40,40,1,Bureaucracy,1,0,1,1,1,1,1,0.0,1,-5.89,0,1,0,0,0,1995,3258,433,cross-sectional,IV,0,1,0.087,,21,36.0,-5.89,2.6424406,-2.2289999,-0.34824535,0.1562339,40.968437,0.04761905,6.400659,-2.2289999,1.0,0.0,0.0,0.16666667,256.02637,25.602636,230.42374,256.02637,6.400659,12769.315,0.55685735,20853.348,0.0,6.400659,0.0,6.400659,6.400659,6.400659,6.400659,6.400659,6.400659,0.0,0.0,0.0,6.400659,0.0,6.400659,0.0,0.0,6.400659,0.0,6.400659,0.0,6.400659,0.0,0.0,0.0,1.0,6.400659,3.713572,1.609438,3.713572,0.6931472,7.5989003,0.08342161,8.089175,23.76931,10.301464,23.76931,4.436599,48.63797,0.5339533,51.776054,3.6109178,0.0
Sachs and Warner,1,11,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-7.663,2.707773851590106,0.0,0.0,0.0,4,56,56,1,Bureaucracy,1,0,1,1,0,1,1,0.0,1,-7.663,0,1,0,0,0,1995,3258,433,cross-sectional,IV,0,1,0.087,,21,52.0,-7.663,2.707774,-2.83,-0.36532432,0.12908986,60.008907,0.04761905,7.7465415,-2.83,1.0,0.0,0.0,0.13867505,433.80634,30.986166,402.82016,433.80634,7.7465415,15454.351,0.6739491,25238.232,0.0,7.7465415,0.0,0.0,7.7465415,7.7465415,7.7465415,7.7465415,7.7465415,0.0,0.0,0.0,7.7465415,0.0,7.7465415,0.0,0.0,7.7465415,0.0,7.7465415,0.0,7.7465415,0.0,0.0,0.0,1.0,7.7465415,4.0430512,1.609438,4.0430512,0.6931472,7.5989003,0.08342161,8.089175,31.319666,12.467578,31.319666,5.3694935,58.8652,0.64622897,62.66313,3.9702919,0.0
Sachs and Warner,1,12,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-5.225,1.7893835616438356,0.0,0.0,0.0,4,88,88,1,,0,0,1,1,0,1,1,0.0,1,-5.225,0,1,0,0,0,1995,3258,433,cross-sectional,IV,0,1,0.087,,21,84.0,-5.225,1.7893835,-2.92,-0.30356383,0.103960216,92.5264,0.04761905,9.619064,-2.92,1.0,0.0,0.0,0.10910895,846.47766,38.476257,808.0014,846.47766,9.619064,19190.033,0.8368586,31338.912,0.0,0.0,0.0,0.0,9.619064,9.619064,9.619064,9.619064,9.619064,0.0,0.0,0.0,9.619064,0.0,9.619064,0.0,0.0,9.619064,0.0,9.619064,0.0,9.619064,0.0,0.0,0.0,1.0,9.619064,4.4886365,1.609438,4.4886365,0.6931472,7.5989003,0.08342161,8.089175,43.176483,15.481287,43.176483,6.667427,73.09431,0.80243784,77.810295,4.4426513,0.0
Sachs and Warner,1,13,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-8.07,2.819706498951782,0.0,0.0,0.0,4,57,57,1,Bureaucracy,1,0,1,1,0,1,1,1.0,0,-8.07,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,53.0,-8.07,2.8197064,-2.862,-0.36586908,0.12783685,61.191044,0.04761905,7.82247,-2.862,1.0,0.0,0.0,0.13736056,445.8808,31.28988,414.59094,445.8808,7.82247,15605.828,0.6805549,25485.61,0.0,7.82247,0.0,0.0,7.82247,7.82247,7.82247,7.82247,7.82247,0.0,0.0,0.0,7.82247,0.0,7.82247,0.0,0.0,0.0,7.82247,7.82247,0.0,7.82247,0.0,0.0,0.0,,,4.060443,1.609438,4.060443,0.6931472,7.5989003,0.08342161,8.089175,31.762695,12.589781,31.762695,5.4221234,59.442173,0.6525631,63.277332,3.988984,0.0
Sachs and Warner,1,14,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-12.844,5.872885230909922,0.0,0.0,0.0,3,95,95,1,,0,0,1,1,0,0,1,1.0,0,-12.844,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,92.0,-12.844,5.872885,-2.187,-0.22230504,0.1016484,96.78297,0.04761905,9.837833,-2.187,1.0,0.0,0.0,0.1042572,934.5942,29.5135,905.0807,934.5942,9.837833,19626.479,0.8558915,32051.662,0.0,0.0,0.0,0.0,0.0,9.837833,9.837833,9.837833,9.837833,0.0,0.0,0.0,9.837833,0.0,9.837833,0.0,0.0,0.0,9.837833,9.837833,0.0,9.837833,0.0,0.0,0.0,,,4.564348,1.3862944,4.564348,0.6931472,7.5989003,0.08342161,8.089175,44.903297,13.638133,44.903297,6.8190665,74.756714,0.8206879,79.579956,4.5325994,0.0
Sachs and Warner,1,15,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-6.92,2.1097560975609757,0.0,0.0,0.0,4,95,95,1,,0,0,1,1,0,0,1,1.0,0,-6.92,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,91.0,-6.92,2.109756,-3.2800002,-0.32515374,0.09913223,101.75839,0.04761905,10.087537,-3.2800002,1.0,0.0,0.0,0.104828484,958.316,40.350147,917.9658,958.316,10.087537,20124.635,0.8776157,32865.195,0.0,0.0,0.0,0.0,0.0,10.087537,10.087537,10.087537,10.087537,0.0,0.0,0.0,10.087537,0.0,10.087537,0.0,0.0,0.0,10.087537,10.087537,0.0,10.087537,0.0,0.0,0.0,,,4.564348,1.609438,4.564348,0.6931472,7.5989003,0.08342161,8.089175,46.04303,16.235264,46.04303,6.9921474,76.65418,0.8415185,81.599846,4.5217886,0.0
Sachs and Warner,1,16,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-4.28,1.8028643639427127,0.0,0.0,0.0,11,65,65,1,,0,0,1,1,1,1,1,1.0,0,-4.28,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,54.0,-4.28,1.8028643,-2.374,-0.30741632,0.12949297,59.63588,0.04761905,7.722427,-2.374,1.0,0.0,0.0,0.13608277,501.95776,84.9467,417.01105,501.95776,7.722427,15406.242,0.67185116,25159.668,0.0,0.0,0.0,7.722427,7.722427,7.722427,7.722427,7.722427,7.722427,0.0,0.0,0.0,7.722427,0.0,7.722427,0.0,0.0,0.0,7.722427,7.722427,0.0,7.722427,0.0,0.0,0.0,,,4.189655,2.4849067,4.189655,0.6931472,7.5989003,0.08342161,8.089175,32.354305,19.18951,32.354305,5.3527784,58.681953,0.6442173,62.468067,4.0073333,0.0
Sachs and Warner,1,17,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-3.687,1.8073529411764704,0.0,0.0,0.0,5,66,66,1,Bureaucracy,1,0,1,1,1,1,1,1.0,0,-3.687,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,61.0,-3.687,1.8073529,-2.04,-0.2527169,0.12388083,65.161606,0.04761905,8.072274,-2.04,1.0,0.0,0.0,0.12803689,532.7701,40.36137,492.4087,532.7701,8.072274,16104.187,0.7022878,26299.469,0.0,8.072274,0.0,8.072274,8.072274,8.072274,8.072274,8.072274,8.072274,0.0,0.0,0.0,8.072274,0.0,8.072274,0.0,0.0,0.0,8.072274,8.072274,0.0,8.072274,0.0,0.0,0.0,,,4.204693,1.7917595,4.204693,0.6931472,7.5989003,0.08342161,8.089175,33.941433,14.463573,33.941433,5.595274,61.340405,0.6734021,65.298035,4.1271343,0.0
Sachs and Warner,1,18,Average GDP growth 1970-89,0,1,0,Primary exports/GDP in 1971 (SXP),0.0,1,0,0,-0.0536,0.018195396836173536,0.0,0.0,0.0,6,67,67,1,,0,0,1,1,0,1,1,1.0,0,-0.0536,0,1,0,0,0,1995,3258,433,cross-sectional,OLS,0,1,0.087,,21,61.0,-0.0536,0.018195396,-2.9458,-0.35290372,0.119798936,69.67774,0.04761905,8.34732,-2.9458,1.0,0.0,0.0,0.12803689,559.2704,50.083916,509.1865,559.2704,8.34732,16652.902,0.7262168,27195.566,0.0,0.0,0.0,0.0,8.34732,8.34732,8.34732,8.34732,8.34732,0.0,0.0,0.0,8.34732,0.0,8.34732,0.0,0.0,0.0,8.34732,8.34732,0.0,8.34732,0.0,0.0,0.0,,,4.2195077,1.9459101,4.2195077,0.6931472,7.5989003,0.08342161,8.089175,35.22158,16.243134,35.22158,5.785921,63.43045,0.6963468,67.522934,4.1271343,0.0
