paper,idstudy,idcoeff,rra,se,tstat,perstudy,pubyear,pyear,exp,ez,panel,csection,start,end,timespan,obs,avyear,midpoint,monthly,quarterly,annual,uk,us,eu,asia,developing,others,country,sepdur,totalc,ndsothers,nd,nds,durable,longrisk,fixed_ies,implied,exact,second,gmm,ml,ols,gls,ols_gls,ogmls,simul,stockhold,nonstockhold,firstlag,seclag,instrument,mreturn,consinclude,incomeincl,hcapital,top,econjournal,finjournal,gcits,yearcits
Attanasio and Weber (1989),1,1,29.943,33.603,,2,1989,0,0,0,0,0,1970,1984,15,60,1977.0,46.5,0,1,0,1,0,1,0,0,0,UK,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,305,9.242424242424242
Attanasio and Weber (1989),1,2,5.102,4.07,,2,1989,0,0,0,0,0,1970,1984,15,60,1977.0,46.5,0,1,0,1,0,1,0,0,0,UK,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,305,9.242424242424242
Bufman and Leiderman (1990),2,1,1.5859999999999999,0.079,,2,1990,1,0,1,0,0,1978,1986,9,35,1982.0,51.5,0,1,0,0,0,0,0,0,1,Israel,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,26,0.8125
Bufman and Leiderman (1990),2,2,1.354,0.097,,2,1990,1,0,1,0,0,1978,1986,9,35,1982.0,51.5,0,1,0,0,0,0,0,0,1,Israel,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,26,0.8125
Epstein and Zin (1991),3,1,0.9984,0.0127,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,2,0.9967,0.0182,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,3,0.8894,0.3402,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,4,0.9948,0.0307,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,5,0.9969,0.0215,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,6,0.9793,0.279,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,7,1.0031,0.0218,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,8,1.0065,0.0237,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,9,0.9068,0.3147,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,10,0.9956,0.0276,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,11,0.9965,0.0199,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,12,0.9824,0.2223,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,13,0.9869,0.1474,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,14,1.1001,0.151,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,15,0.821,1.576,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,16,1.1785,0.2698,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,17,1.084,0.1579,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129032258
Epstein and Zin (1991),3,18,0.964,0.8155,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38.0,1,0,0,0,1,0,0,0,0,USA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129032258
