id,id_in_study,idstudy,size,size_calc,size_merged,size_other,size_other_comment,size_scale,se_calc,sd,tstat_adj,tstat_type_comment,pvalue,pvalue_calc,pvalue_merged,obs,firms,country_region,geo,industry,stockex,database,annual,quarterly,monthly,winsor,trim1,trim2,trim3,penny_stock,OLS,GMM,GLS,WLS,LTS,MLE,FM,SUR,SLS,se_corr,currency,ret_scale,excess,index,riskfree,retweight,adjusted,indstock,portfolio,sort,portnum,breakpoints,bm_sort,ep_sort,size_sort,mom_sort,beta_sort,price_sort,liq_sort,avg_spread_sort,debt_to_book_sort,months_listed_sort,past_returns_sort,st_dev_sort,yield_sort,inst_holdings_sort,analyst_sort,turnover_sort,analyst_disp_sort,bm_quint,ep_quint,mom_quint,size_quint,beta_quint,jan,febdec,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,non_janjul,BM,beta,beta_sq,mom,mom3,mom3_1,mom3_2,mom3_3,mom_36,BM_dum,CP,CP_dum,DP,DP_dum,EP,EP_dum,EB,FCFB,LB,LB_dum,EBITDAA,EBITDAXSGA,A_turn,gross_margin,AM,AB,accruals,XRDM,beta_loc,beta_glob,beta_up,beta_down,illiq,divyld,r100,r100yr,sd_ret,ret2_3,ret4_6,ret2_7,ret7_12,ret_7_1,ret36_13,ret_1_1,ret1_0,ret12_2,ret6,ret6_1,ret12,ret12_1,ret36,ret48,ret60_12,ind_ret_1_1,ind_ret36_13,ind_ret6,ind_ret6_1,ind_ret12,ind_ret12_1,gross_proftA,price,nydvol,nadvol,e_ivol,ivol,vol,vol_sqr,nasdum,nyturn,nasdturn,turn,turn_sq,cvvol,cvvol_plus,cvvol_minus,cvturn,cvturn_plus,cvturn_minus,hvol,hturn,max,min,rev,tskew,sskew,iskew,w_ff_vol,w_ff_vol_3,w_ff_vol_6,w_ff_vol_12,l_ff_vol,SMB,HML,dum_can,dum_fr,dum_ger,dum_it,dum_jap,dum_uk,dum_other,PIN,perc_of_zero_returns,analyst_cov,ins_own,delay,skeweness,leverage,leverage_times_l_ff_vol,assetg,l2assetg,ysalesg,yassetg,ci,noa_a,up,down,middle,BM_size,BM_ivol,BM_analyst,BM_illiq,BM_io,BM_volume,capex_growth_2,capex_growth_3,distress,capex,analyst_disp,earn_smoothi,accruals_qual,net_stock_issues,net_stock_issues_zero_dum,accruals_pos_dum,accruals_neg_dum,eq_income_neg_dum,profitab_pos_dum,AM_pos_dum,AM_neg_dum,net_debt,def_prob,fin_constraints,st_dev,coskew,cokurt,cegth2,cegth3,inst,MB_inst,adisp_size,adisp_inst,turn_size,turn_inst,vol_size,vol_inst,trading_days,liq_turn_ny_am,liq_turn_nasd,liq_cv_turn_ny_am,liq_cv_turn_nasd,liq_vol_ny_am,liq_vol_nasd,liq_cv_vol_ny_am,liq_cv_vol_nasd,liq_illiq_ny_am,liq_illiq_nasd,liq_cv_illiq_ny_am,liq_cv_illiq_nasd,delay_turn_att,delay_turn_liq,delay_turn_res,delay_vol_att,delay_vol_liq,delay_vol_res,delay_illiq_att,delay_illiq_liq,delay_illiq_res,expan_pol,restrict_pol,pol_dum_beta,pol_dum_size,pol_dum_BM,resid_analyst_cov,debt_to_book,sales_to_assets,sd_earn,forecast_age,sd_forecast,disp_forecast,forecast_mean,size_sq,ret_fit,ROE,EPS,dum_issue,y_sales_growth_preformation,y_sales_growth_preformation2,idiosync_risk,liq,fx,ERRI,EWR,RX,price_lag_12,price_lag_52,negative_event,EWNY,VWNY,DEI,UITB,TBD,PREMA,IP_1,WHL,WHW,leverage_low,leverage_high,Oscore_low,Oscore_high,def_prob_low,def_prob_high,leverage_low_low_tax_benefit,leverage_high_low_tax_benefit,leverage_low_high_tax_benefit,leverage_high_high_tex_benefit,leverage_low_low_coverage,leverage_high_low_coverage,leverage_low_def_prob_low,leverage_low_def_prob_high,leverage_high_def_prob_low,leverage_high_def_prob_high,breadth,breadth_in,breadth_out,hold,hold_1,hold_2,hold_3,hold_4,avg_spread,spread_jan_dum,size_jan_dum,period_listing,beta_size,period_listing_size,beta_period_listing,exp_growth_earnings,altman_z_score,ohlson_o_score,consum_growth,ret_rank,ret_rank_small_dum,ret_rank_med_dum,ret_rank_large_dum,share_issue_ST,share_issue_LT,share_issue_LT_dum,div_factor,lev_factor,spread_bonds,spread_bonds_2,labor_growth,SP,idiosync_risk_EG,idiosync_risk_AR,ORW_ratio,option_interest,lagger,CF,WCF,assets,ppe,employees,st_dev_CF,st_dev_CF_growth,intangible_ratio,liability_ratio,buy_lambda,sell_lambda,avg_lambda,sell_minus_buy_lambda,FSRV,proxy_rsq,CSR,env_soc,emp_soc,comm_soc,IMR,PI_candidates,PI_strength,PI_ability,PI_power,tobin_Q,cash,ROA,BLOCK,industry_takeover,logit,CF_cov,CF_cov_dur,num_indep,topjour,impact,cits,published,pubyear,study,comment1,comment2,comment3,comment4,PE,se,startmonth,endmonth,startyear,endyear,rel_size,tstat
1,1,1,-0.12,,-0.12,0,,6,0.035398230088495575,0.0,0,,0.0,,,269.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,x,0.03539823,7.0,12.0,1981.0,2003.0,0.0,-3.39
2,2,1,-0.06,,-0.06,0,,6,0.03015075376884422,0.0,0,,0.0,,,269.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.030150754,7.0,12.0,1981.0,2003.0,0.0,-1.99
3,3,1,-0.13,,-0.13,0,,6,0.04905660377358491,0.0,0,,0.0,,,269.0,9840.0,USA,US,0,"NYSE, AMEX, NASDAQ","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.049056605,7.0,12.0,1981.0,2003.0,0.0,-2.65
4,4,1,-0.09,,-0.09,0,,6,0.043478260869565216,0.0,0,,0.0,,,269.0,9840.0,USA,US,0,"NYSE, AMEX, NASDAQ","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.04347826,7.0,12.0,1981.0,2003.0,0.0,-2.07
5,5,1,-0.12,,-0.12,0,,6,0.0821917808219178,0.0,0,,0.0,,,269.0,5359.0,emerging,EMER,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.08219178,7.0,12.0,1981.0,2003.0,0.0,-1.46
6,6,1,-0.04,,-0.04,0,,6,0.03448275862068966,0.0,0,,0.0,,,269.0,12289.0,developed,WE,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.03448276,7.0,12.0,1981.0,2003.0,0.0,-1.16
7,7,1,-0.07,,-0.07,0,,6,0.043750000000000004,0.0,0,,0.0,,,131.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.04375,7.0,6.0,1981.0,1992.0,0.0,-1.6
8,8,1,-0.06,,-0.06,0,,6,0.04918032786885246,0.0,0,,0.0,,,137.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.04918033,7.0,12.0,1992.0,2003.0,0.0,-1.22
9,9,1,-0.46,,-0.46,0,,6,0.11442786069651743,0.0,0,,0.0,,,269.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.11442786,7.0,12.0,1981.0,2003.0,0.0,-4.02
10,10,1,-0.03,,-0.03,0,,6,0.033707865168539325,0.0,0,,0.0,,,269.0,27488.0,all,WORLD,0,"exchnage with largest # of stocks; multiple for China, Japan, USA","Datastream, Worldscope",0,0,1,"B/M, C/P, D/P, E/P, L/B 0.5% two-tailed",return above 300% that is reversed within one month excluded,0.1% two-tailed,0,min price 1$,1,0,0,0,0,0,1,0,0,0,USD,2,0,local and global value-weighted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.991,260,1,2011,(Hou et al. 2011),0,0,0,0,,0.033707865,7.0,12.0,1981.0,2003.0,0.0,-0.89
