idstudy,idcountry,author,elasticity,se,precision,tstat,weight,instrument_se,instrument_sec,inverted_estimate,direct_estimate,higher_frequency,annual_frequency,lower_frequency,micro_data,sectoral_data,aggregated_data,country_estimate,region_estimate,cross_section,data_midyear,united_states,europe,developed_country,developing_country,manufacturing_sector,onelevel_ces_function,multilevel_ces_function,other_function,time_control,location_control,macro_control,age_control,capital_control,dynamic_model,unit_fixed_effects,time_fixed_effects,ols_method2,iv_method2,natural_experiment,impact_factor,citations,published_study,top_journal,publication_year,midyear,pubyear,country,reference
7,1,Behar (2010),-0.24,0.0579,17.271157167530223,-4.1450777202072535,0.02631578947368421,81.0089,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),-0.328,0.42,2.380952380952381,-0.7809523809523811,0.02631578947368421,11.16766,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),-0.197,0.0471,21.231422505307854,-4.182590233545647,0.02631578947368421,99.5842,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),0.411,0.111,9.00900900900901,3.7027027027027026,0.02631578947368421,42.256,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),-0.209,0.289,3.4602076124567476,-0.7231833910034602,0.02631578947368421,16.22981,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),0.415,0.12,8.333333333333334,3.4583333333333335,0.02631578947368421,39.0868,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),-0.618,0.335,2.9850746268656714,-1.844776119402985,0.02631578947368421,13.34966,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
7,1,Behar (2010),-0.499,0.177,5.649717514124294,-2.819209039548023,0.02631578947368421,25.2663,,0,1,0,1,0,0,0,1,1,0,0,4.248495242049359,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.553,0.36772478012531734,0,0,3.713572066704308,1998.0,2010,Brazil,"Behar, A. (2010): The elasticity of substitution between skilled and unskilled labor in developing countries is about 2. Technical report, Department of Economics, University of Oxford."
66,1,Reshef (2007),0.55,0.15895953757225434,6.290909090909091,3.46,0.005434782608695652,19.8936,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.01,0.16666666666666669,5.999999999999999,0.06,0.005434782608695652,18.97367,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.53,0.19776119402985073,5.056603773584906,2.68,0.005434782608695652,15.99039,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.06,0.20075757575757575,4.981132075471699,5.28,0.005434782608695652,15.75172,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.27,0.22314049586776863,4.481481481481481,1.21,0.005434782608695652,14.17169,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.13,0.269689737470167,3.707964601769912,4.19,0.005434782608695652,11.72561,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.23,0.27380952380952384,3.652173913043478,0.84,0.005434782608695652,11.54919,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.08,0.32,3.125,0.25,0.005434782608695652,9.882118,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.62,0.3315508021390374,3.0161290322580645,1.87,0.005434782608695652,9.537837,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.04,0.39999999999999997,2.5,-0.1,0.005434782608695652,7.905694,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.03,0.4285714285714285,2.333333333333334,-0.07,0.005434782608695652,7.378648,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.11,0.4457831325301205,2.2432432432432434,2.49,0.005434782608695652,7.093758,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.87,0.4578947368421053,2.1839080459770113,1.9,0.005434782608695652,6.906124,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.54,0.47787610619469034,2.092592592592592,1.13,0.005434782608695652,6.617359,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.37,0.5,2.0,0.74,0.005434782608695652,6.324555,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.74,0.5362318840579711,1.8648648648648647,1.38,0.005434782608695652,5.897221,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.34,0.6071428571428571,1.647058823529412,-0.56,0.005434782608695652,5.208457,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.37,0.8043478260869564,1.2432432432432434,-0.46,0.005434782608695652,3.93148,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.27,1.0384615384615385,0.9629629629629629,-0.26,0.005434782608695652,3.045156,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.42,0.1917808219178082,5.214285714285714,2.19,0.005434782608695652,15.64286,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.06,0.3,3.3333333333333335,-0.2,0.005434782608695652,10.0,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.25,0.4310344827586207,2.32,0.58,0.005434782608695652,6.96,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.08,0.4444444444444445,2.25,0.18,0.005434782608695652,6.75,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.01,0.5,2.0,2.02,0.005434782608695652,6.0,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.21,0.5675675675675675,1.761904761904762,0.37,0.005434782608695652,5.285714,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),-0.42,0.6666666666666666,1.5,-0.63,0.005434782608695652,4.5,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.62,0.746987951807229,1.3387096774193548,0.83,0.005434782608695652,4.016129,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.46,0.7934782608695652,1.2602739726027399,1.84,0.005434782608695652,3.780822,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.0,0.8,1.25,0.0,0.005434782608695652,3.75,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.58,0.8656716417910446,1.1551724137931036,0.67,0.005434782608695652,3.465517,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.37,0.9487179487179487,1.0540540540540542,0.39,0.005434782608695652,3.162162,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.88,0.9565217391304347,1.0454545454545456,0.92,0.005434782608695652,3.136364,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.05,1.0,1.0,0.05,0.005434782608695652,3.0,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),1.12,1.046728971962617,0.9553571428571428,1.07,0.005434782608695652,2.866071,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
66,1,Reshef (2007),0.42,1.6153846153846152,0.6190476190476191,0.26,0.005434782608695652,1.857143,,0,1,0,1,0,0,1,0,1,0,0,4.143134726391533,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0.0,0.5596157879354227,0,0,3.6375861597263857,1991.0,2007,Brazil,"Reshef, A. (2007): Heckscher-Ohlin and the global increase of skill premia: Factor intensity reversals to the rescue. Working paper, New York University."
