yi,vi,dataset,reference,sei
0.220639909,0.03043547,SC-BCTs versus passive control conditions,"Ambasta et al. (2023); orders, costs and lab free patients (not restricted); ordered routine laboratory tests",0.174457646
0.128449435,0.005946958,SC-BCTs versus passive control conditions,Bator et al. (2019) study 2; electricity usage (not restricted); electricity usage,0.077116522
0.118755751,0.000770719,SC-BCTs versus passive control conditions,Brent et al. (2020); water usage (intended upward); water usage; [two letters arm],0.027761819
0.44,6.97e-05,SC-BCTs versus passive control conditions,Chen et al. (2017); traffic violations (not restricted); traffic violations likelihood (extensive); [own car brand arm],0.008347658
0.419886821,0.047561825,SC-BCTs versus passive control conditions,Chen et al. (2023); electricity usage (not restricted); electricity usage; [SC with other team arm],0.218086738
0.086123597,0.022197648,SC-BCTs versus passive control conditions,De Dominicis et al. (2019); electricity usage (not restricted); electricity usage,0.148988752
0.323984876,0.04277037,SC-BCTs versus passive control conditions,Dohnke et al. (2018); healthy diet (not restricted); consumption of sweets in the last 24h,0.206809986
0.21504455,0.015779121,SC-BCTs versus passive control conditions,Earnhart & Ferraro (2021); waste water discharge (not restricted); waste water discharge,0.12561497
0.328,0.00468,SC-BCTs versus passive control conditions,Feizi & Khatabiroudi (2023); water usage (not restricted); water usage,0.068410526
0.055786224,9.96e-05,SC-BCTs versus passive control conditions,Ferraro & Price (2013); water usage (not restricted); water usage,0.009981109
0.010265431,0.004635061,SC-BCTs versus passive control conditions,Hrozencik et al. (2023) study in Colorado; water usage (not restricted); water usage,0.068081286
0.016255559,0.001677966,SC-BCTs versus passive control conditions,Hrozencik et al. (2023) study in Kansas; water usage (not restricted); water usage,0.040962979
0.028,0.000108589,SC-BCTs versus passive control conditions,Kim & Kaemingk (2021); electricity usage (upward); eletricity usage; [usage in money arm],0.01042061
0.331,0.018631033,SC-BCTs versus passive control conditions,Klege et al. (2022); electricity usage (intended upward); electricity usage; [SC + peer leader arm],0.136495541
