idstudy,study,local,cs,aggr,idcoeff,table,forw,horiz,aux,more,comb,lag,square,orige,origse,t,lin,loglog,diff,ldiff,mean1,mean2,e,se,country,amad,balan,nobs,start,end,bothbf,bothvh,yearfe,sectfe,tgap,rd,scomp,cycl,allfirm,green,ma,nat,serv,auto,food,electro,text,empl,asset,translog,output,va,lp,pols,rand,gmm,ols,op,realpart,forpart,nace,io,check,comment,idcountry,dist,sim,gap,open,human,findev,incent,gp00,gp95,JCRimp,eigen,SJRimp,repimp,JCRcit,scocit,schcit,repcit,pub,native,citeaut,affusa,affacad,affinter,pubdate,idauthor,last,eb,seb,ef,sef,eh,seh
1,Atallah Murra (2006),0,0,0,1,4,0,1,0,0,0,0,0,0.038,0.126,0.30158730158730157,0,0,0,0,,,0.038,0.126,Colombia,0,0,7602,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,2,4,0,0,0,0,0,0,0,1.268,0.097,13.072164948453608,0,0,0,0,,,1.268,0.097,Colombia,0,0,7602,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,3,4,1,0,0,0,0,0,0,0.858,0.061,14.065573770491802,0,0,0,0,,,0.858,0.061,Colombia,0,0,7602,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,4,4,0,1,0,0,0,0,0,0.441,0.379,1.1635883905013193,0,0,0,0,,,0.441,0.379,Colombia,0,0,6237,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,5,4,0,0,0,0,0,0,0,2.79,0.922,3.0260303687635575,0,0,0,0,,,2.79,0.922,Colombia,0,0,6237,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,6,4,1,0,0,0,0,0,0,1.075,0.921,1.1672095548317045,0,0,0,0,,,1.075,0.921,Colombia,0,0,6237,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,7,4,0,1,0,0,0,0,0,-0.086,0.106,-0.8113207547169811,0,0,0,0,,,-0.086,0.106,Colombia,0,0,7612,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,8,4,0,0,0,0,0,0,0,1.467,0.128,11.4609375,0,0,0,0,,,1.467,0.128,Colombia,0,0,7612,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,9,4,1,0,0,0,0,0,0,0.699,0.284,2.461267605633803,0,0,0,0,,,0.699,0.284,Colombia,0,0,7612,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,10,4,0,1,0,0,0,0,0,-0.483,0.573,-0.8429319371727749,0,0,0,0,,,-0.483,0.573,Colombia,0,0,6153,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,11,4,0,0,0,0,0,0,0,2.626,1.038,2.5298651252408475,0,0,0,0,,,2.626,1.038,Colombia,0,0,6153,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,12,4,1,0,0,0,0,0,0,0.041,1.22,0.033606557377049186,0,0,0,0,,,0.041,1.22,Colombia,0,0,6153,1995,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,13,6,0,0,0,0,0,0,0,0.984,0.082,12.0,0,0,0,0,,,0.984,0.082,Colombia,0,0,7602,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,14,6,1,0,0,0,0,0,0,0.854,0.106,8.056603773584905,0,0,0,0,,,0.854,0.106,Colombia,0,0,7602,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,15,6,0,0,0,0,0,0,0,1.868,0.89,2.098876404494382,0,0,0,0,,,1.868,0.89,Colombia,0,0,6237,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,16,6,1,0,0,0,0,0,0,0.386,0.902,0.4279379157427938,0,0,0,0,,,0.386,0.902,Colombia,0,0,6237,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,17,7,0,0,0,0,0,0,0,1.02,0.194,5.257731958762887,0,0,0,0,,,1.02,0.194,Colombia,0,0,7612,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,18,7,1,0,0,0,0,0,0,0.88,0.251,3.50597609561753,0,0,0,0,,,0.88,0.251,Colombia,0,0,7612,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
