idstudy,idcountry,study,pcc,se_pcc,tstat,estimate,se_estimate,education_choice,education_attainment,education_test,employment_continuous,employment_dummy,employment_categorical,longitudinal_data,crosssectional_data,secondary_education,tertiary_education,male_students,female_students,mixed_gender_students,europe,germany,usa,other_countries,data_year,sample_size,ols_method,matching_method,did_method,panel_method,iv_method,dynamic_model,number_of_variables,ability_control,motivation_control,parental_education_control,age_control,ethnicity_control,publication_year,citations,published_study,impact_factor,low_intensity_employment,medium_intensity_employment,high_intensity_employment,oncampus_employment,parttime_students,twoyear_college,undergraduate_students,minority_students,caucasian_students,homogeneous_subsample,endogeneity_control,selfreported_education,sample_size_full,country,pub_year,mid_year
1,1,Apel et al. (2008),-0.09435221945331254,0.028305665835993758,-3.3333333333333335,-0.004,0.0012,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.142036574706803,0.0,0.0,0.0,1.0,0.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1264,USA,2008.625,1997.0
1,1,Apel et al. (2008),-0.04733439447716435,0.028400636686298605,-1.6666666666666667,-0.002,0.0012,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.142036574706803,0.0,0.0,0.0,1.0,0.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1264,USA,2008.625,1997.0
1,1,Apel et al. (2008),-0.03006716785818984,0.02841965181116574,-1.0579710144927537,-0.0073,0.0069,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.142036574706803,0.0,0.0,0.0,0.0,1.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,1264,USA,2008.625,1997.0
1,1,Apel et al. (2008),-0.14793501947342003,0.021133574210488573,-7.0,-0.0021,0.0003,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.7039102096163115,0.0,0.0,0.0,1.0,0.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2217,USA,2008.625,1997.0
1,1,Apel et al. (2008),-0.09044472633075427,0.021281112077824533,-4.25,-0.0017,0.0004,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.7039102096163115,0.0,0.0,0.0,1.0,0.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2217,USA,2008.625,1997.0
1,1,Apel et al. (2008),-0.09276575587363314,0.021276549512301176,-4.36,-0.0109,0.0025,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,3.4339872044851463,7.7039102096163115,0.0,0.0,0.0,0.0,1.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,3.421816668864891,2.169053700369523,1.0,3.423,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,2217,USA,2008.625,1997.0
2,2,Applegate & Daly (2006),0.0027300936122362294,0.05255863725110276,0.05194376709565368,0.009500000000000008,0.18289008539765508,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,3.58351893845611,5.963579343618446,1.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.0,0.0,0.0,1.0,0.0,3.421816668864891,1.6739764335716716,1.0,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,389,Australia,2008.625,2002.0
3,1,Arano & Parker (2008),-0.06244912914311986,0.05561904881331882,-1.1228010991832258,-0.012385,0.011030448766936003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,3.6635616461296463,5.855071922202427,1.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.0,0.0,1.0,1.0,1.0,3.4163596294018306,-0.013793322132342065,1.0,1.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,349,USA,2008.4583333333333,2005.0
3,1,Arano & Parker (2008),-0.11513406566623595,0.055357229126208635,-2.0798379449907514,-0.40177,0.19317370421462648,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,3.6635616461296463,5.855071922202427,0.0,0.0,0.0,0.0,1.0,0.0,3.258096538021482,1.0,0.0,1.0,1.0,1.0,3.4163596294018306,-0.013793322132342065,1.0,1.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,349,USA,2008.4583333333333,2005.0
4,3,Auers et al. (2007),-0.11387856917058072,0.032014918502672685,-3.5570469798657722,-0.53,0.149,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.883462586413092,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,976,Latvia,2007.9583333333333,2005.0
