id,idstudy,country,startyear,endyear,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,idcountry,annual,monthly,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last,gdppc,finref,eascredit,marketpartic,education,gini,realrate,inflation,growth,lifeexp,politstab,ruleoflaw,trust
1,1,USA,1959,1978,1.0574177857671567,0.3751334113618284,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
2,1,USA,1959,1978,1.0774701002047193,0.31682102181431726,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
3,1,USA,1959,1978,1.266624445851805,0.4054160829217873,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
4,1,USA,1959,1978,1.120197154699227,0.26828514806171694,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
5,1,USA,1959,1978,1.1109876680368849,0.386333896339901,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
6,1,USA,1959,1978,1.2295585884667404,0.3474149313041398,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
7,1,USA,1959,1978,1.4716703458425313,0.4017584240673871,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
8,1,USA,1959,1978,1.2565971349585323,0.2783841101950104,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
9,1,USA,1959,1978,1.0270103728047653,0.1313164130781486,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
10,1,USA,1959,1978,1.0347682119205297,0.11499804010789,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
