panel,bin_lower,bin_upper,count
main,0.0,0.1,1800
main,0.1,0.2,1437
main,0.2,0.3,1423
main,0.3,0.4,1350
main,0.4,0.5,1274
main,0.5,0.6,1349
main,0.6,0.7,1267
main,0.7,0.8,1271
main,0.8,0.9,1194
main,0.9,1.0,1083
main,1.0,1.1,1334
main,1.1,1.2,1197
main,1.2,1.3,1055
main,1.3,1.4,1022
main,1.4,1.5,1066
main,1.5,1.6,1067
main,1.6,1.7,1055
main,1.7,1.8,947
main,1.8,1.9,935
main,1.9,2.0,1089
main,2.0,2.1,1132
main,2.1,2.2,948
main,2.2,2.3,933
main,2.3,2.4,928
main,2.4,2.5,779
main,2.5,2.6,1044
main,2.6,2.7,835
main,2.7,2.8,738
main,2.8,2.9,780
main,2.9,3.0,592
main,3.0,3.1,676
main,3.1,3.2,585
main,3.2,3.3,762
main,3.3,3.4,521
main,3.4,3.5,459
main,3.5,3.6,500
main,3.6,3.7,439
main,3.7,3.8,414
main,3.8,3.9,387
main,3.9,4.0,335
main,4.0,4.1,390
main,4.1,4.2,327
main,4.2,4.3,306
main,4.3,4.4,328
main,4.4,4.5,309
main,4.5,4.6,272
main,4.6,4.7,296
main,4.7,4.8,237
main,4.8,4.9,244
main,4.9,5.0,215
main,5.0,5.1,228
main,5.1,5.2,217
main,5.2,5.3,227
main,5.3,5.4,216
main,5.4,5.5,165
main,5.5,5.6,176
main,5.6,5.7,178
main,5.7,5.8,169
main,5.8,5.9,154
main,5.9,6.0,151
caliper,1.71,1.76,465
caliper,1.76,1.81,480
caliper,1.81,1.86,463
caliper,1.86,1.91,486
caliper,1.91,1.96,550
caliper,1.96,2.01,683
caliper,2.01,2.06,450
caliper,2.06,2.11,529
caliper,2.11,2.16,444
caliper,2.16,2.21,513
