label,country,studyid,estimateid,numberofestimates,invnoest,publicationyear,published,numberofcitations,numberofyears,citations,impact,incomeelasticity,tvalue,standarderror,inverseofstandarderror,longrun,average,marginal,otherprice,differencevariable,discretecontinuous,decreasing,increasing,flat,notavailable,firstyearofdependentvariable,lastyearofdependentvariable,midyear,daily,monthly,quarterly,annual,crosssection,timeseries,paneldata,householddata,aggregatedata,lagged,evaporation,householdsize,populationdensity,temperature,rainfall,ovb,iv,paneltechnique,otherestimator,developed,us,europe,otherlocation,reference
Wong (1972),US,1,1,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.103,3.43,0.03003,33.300033,0,0,0,1,0,0,0,0,1,0,1951,1961,1956.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Wong (1972),US,1,2,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.0976,1.225,0.07967,12.551776,0,0,0,1,0,0,0,0,1,0,1951,1961,1956.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Wong (1972),US,1,3,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.2445,5.409292,0.0452,22.123894,0,0,0,1,0,0,0,0,1,0,1961,1961,1961.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Wong (1972),US,1,4,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.3407,5.5761047,0.0611,16.366612,0,0,0,1,0,0,0,0,1,0,1961,1961,1961.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Wong (1972),US,1,5,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.2735,2.7241036,0.1004,9.9601594,0,0,0,1,0,0,0,0,1,0,1961,1961,1961.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Wong (1972),US,1,6,6,0.16666666666666666,1972,1,149,44,3.3863636,0.13,0.5818,3.8606503,0.1507,6.6357001,0,0,0,1,0,0,0,0,1,0,1961,1961,1961.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"Wong, S. (1972): ""A model on municipal water demand: a case study of northeastern Illinois."" Land Economics 48(1): pp. 34--44."
Nieswiadomy & Molina (1991),US,2,1,3,0.3333333333333333,1991,1,143,25,5.72,0.13,2.364,0.902,2.62084,0.38155706,0,0,0,1,0,0,1,0,0,0,1976,1980,1978.0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,"Nieswiadomy, M. L. & D. J. Molina (1991): ""A note on price perception in water demand models."" Land economics 67(3): pp. 352--359."
Nieswiadomy & Molina (1991),US,2,2,3,0.3333333333333333,1991,1,143,25,5.72,0.13,2.074,3.47,0.59769,1.6731081,0,0,0,1,0,0,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. & D. J. Molina (1991): ""A note on price perception in water demand models."" Land economics 67(3): pp. 352--359."
Nieswiadomy & Molina (1991),US,2,3,3,0.3333333333333333,1991,1,143,25,5.72,0.13,0.55,7.96,0.0691,14.47178,0,0,0,1,0,0,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,"Nieswiadomy, M. L. & D. J. Molina (1991): ""A note on price perception in water demand models."" Land economics 67(3): pp. 352--359."
Hewitt & Hanemann (1995),US,3,1,1,1.0,1995,1,341,21,16.238095,0.13,0.4,2.02,0.19802,5.049995,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,"Hewitt, J. A. & W. M. Hanemann (1995): ""A discrete/continuous choice approach to residential water demand under block rate pricing."" Land Economics pp. 173--192."
Darr et al. (1975),Other,4,1,8,0.125,1975,1,25,41,0.6097561,0.007,0.6028,5.5,0.1096,9.1240876,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,2,8,0.125,1975,1,25,41,0.6097561,0.007,0.1779,3.3314607,0.0534,18.726592,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,3,8,0.125,1975,1,25,41,0.6097561,0.007,0.2445,5.409292,0.0452,22.123894,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
