"idstudy","study_se"
1,0.00579091906547546
2,0.0200844965875149
3,0.020633403211832
4,0
5,0.178951978683472
6,0.0125761004164815
7,0.0907758921384811
8,0.00689488183706999
9,0
10,1.50499975681305
11,0.312496185302734
12,0.253952205181122
13,0.0834327787160873
14,0.00864291843026876
15,0.0083085335791111
16,0.530173897743225
17,0.00995988771319389
18,0.0360716097056866
19,0
20,0.0328851751983166
21,0.330928534269333
22,0.128167167305946
23,0.110653929412365
24,0
25,0.0128517914563417
26,0.15733540058136
27,0.010955560952425
28,0.148264110088348
29,0.036335077136755
30,0.0167809035629034
31,0.49126923084259
32,0.0680550634860992
33,0.062399223446846
34,0.0903045982122421
35,0.0247182324528694
36,0
37,0.0161396469920874
38,0.000786697259172797
39,0
40,0.0102982260286808
41,0
42,0.140780091285706
43,0.160897254943848
44,0.0302905887365341
45,0.243743568658829
46,0.123907268047333
47,0.00180653820279986
48,0.00420091673731804
49,0.0654885098338127
50,0.777404010295868
51,0.00808526854962111
52,0.12272023409605
53,0.0815409719944
54,0.0580944530665874
55,0.667885065078735
56,0.0258136596530676
