effect,se,n_obs,study_id
0.49,0.2437810945273632,152,1
0.89,0.6416041626016253,33,1
0.93,0.6416041626016253,18,1
0.46,0.15753424657534248,81,1
0.04,0.19999999999999998,20,1
0.06583333333333334,0.0444989939637827,136,20
0.067,0.1717948717948718,114,28
0.607,0.29182692307692304,114,28
0.288,0.2594594594594594,114,28
-0.3172,0.37745098039215685,114,28
0.115,0.12637362637362637,114,28
0.644,0.3903030303030303,114,28
0.7466666666666667,0.17445482866043613,96,40
0.11499999999999999,0.16666666666666666,96,40
0.9823199999999997,0.11512415349887134,96,40
0.38833333333333336,0.12987736900780378,96,40
0.585,0.19763513513513511,96,40
0.27666666666666667,0.2515151515151515,96,40
0.57,0.15659340659340656,96,40
0.2791666666666667,0.17668776371308018,96,40
0.4066666666666667,0.10844444444444444,180,42
0.03666666666666667,0.11458333333333333,132,42
0.3,0.10135135135135134,180,42
0.04,0.09523809523809525,132,42
0.44,0.13134328358208955,180,42
0.04,0.11764705882352941,132,42
0.22,0.21782178217821782,180,42
0.15,0.1056338028169014,132,42
0.38999999999999996,0.06122448979591836,180,42
-0.02,0.16666666666666669,132,42
0.35000000000000003,0.16826923076923078,180,42
0.08,0.12903225806451613,132,42
0.001,0.1,136,56
0.2755,0.1235376583439895,99,58
0.5334166666666667,0.1572506984370305,99,58
0.31966666666666665,0.10846725565120136,99,58
0.3665833333333333,0.12438671991909143,99,58
0.298,0.08785010117338245,99,58
0.36966666666666664,0.14776722673014198,99,58
0.38458333333333333,0.16264162224595935,99,58
0.27825,0.38365257002050046,99,58
0.36341666666666667,0.33315923218640686,99,58
0.43483333333333335,0.23565856939962138,99,58
0.2005,0.1306280367326188,99,58
0.9823199999999997,0.24010000000000004,36,59
0.8277,0.4204,36,59
0.9415,0.2241,36,59
0.6611,0.3712,36,59
0.8062,0.2802,36,59
0.6138,0.3528,36,59
0.6251,0.2535,36,59
0.4297,0.3194,36,59
0.8758,0.5528,36,59
0.8705,0.5195,36,59
0.5416,0.5383,36,59
0.5493,0.5094,36,59
0.12,0.0444989939637827,204,74
-0.03,0.05555555555555555,204,74
0.14,0.08,204,74
0.07,0.06194690265486727,204,74
0.18,0.059800664451827246,204,74
0.04,0.08,204,74
0.23,0.04627766599597586,204,74
0.09,0.05844155844155844,204,74
0.17,0.1,204,74
-0.26,0.1925925925925926,204,74
0.25,0.07102272727272728,204,74
0.14,0.09210526315789475,204,74
0.04,0.08510638297872342,204,74
0.17,0.07083333333333335,204,74
0.06,0.0923076923076923,204,74
0.33,0.10248447204968944,204,74
0.05,0.0819672131147541,204,74
-0.3172,0.17788461538461536,204,74
0.29,0.06277056277056277,204,74
