effect,se,n_obs,study_id
-0.04,0.43,12.0,13
-0.09,0.12,12.0,13
-0.2,0.08,12.0,13
-0.28,0.14,12.0,13
-0.17,0.05,12.0,13
-0.04,0.181818181818182,43.0,41
-0.04,0.173913043478261,167.0,41
-0.26,0.118721461187215,169.0,41
-0.32,0.157635467980296,122.0,41
-0.45,0.216346153846154,136.0,41
-0.65,0.146726862302483,171.0,41
-0.9355,0.148188803512624,161.0,41
-0.292,0.0204195804195804,7499.0,99
-0.416,0.0154934823091248,12020.0,99
-0.507,0.0169963124371438,10067.0,99
-0.59,0.021,12296.0,120
-0.91,0.031,8810.0,120
-0.72,0.014,12742.0,120
-0.85,0.014,7430.0,120
-0.66,0.01015,43923.0,120
-0.421,0.021,12296.0,120
-0.581,0.015,7430.0,120
-0.456,0.01015,43923.0,120
-0.548,0.011,30937.0,120
-0.443,0.014,12742.0,120
-0.444,0.033,8810.0,120
-0.87,0.01015,30937.0,120
-0.1188,0.2027,14.0,180
-0.3403,0.7232499999999981,11.0,180
-0.5588,0.1651,18.0,180
-0.454,0.0920000000000001,35.0,180
-0.7198,0.1763,22.0,180
-0.7795,0.1622,22.0,180
-0.9355,0.1755,21.0,180
-0.5513,0.0472000000000001,10.0,180
-0.342,0.246043165467626,18.0,232
-0.587,0.250854700854701,18.0,232
-0.458,0.132753623188406,60.0,237
-0.7,0.01015,6358.0,256
-0.6483,0.296,36.0,453
-0.9355,0.7232499999999981,36.0,453
-0.49,0.16,60.0,462
-0.49,0.16,60.0,462
-0.49,0.16,60.0,462
-0.29,0.7232499999999981,45.0,462
-0.29,0.7232499999999981,45.0,462
-0.19,0.213,39.0,482
-0.76,0.292,39.0,482
-0.9355,0.146,39.0,482
-0.04,0.327,39.0,482
-0.25,0.148,39.0,482
-0.6,0.305,39.0,482
-0.67,0.213,39.0,482
-0.07,0.092,39.0,482
-0.3,0.182,39.0,482
-0.49,0.195,39.0,482
-0.69,0.137,39.0,482
-0.1,0.103,39.0,482
-0.66,0.068,39.0,482
-0.83,0.164,39.0,482
-0.63,0.084,39.0,482
-0.04,0.055,39.0,482
-0.39,0.038265306122449,233850.0,684
-0.3362,0.061,233850.0,684
