effect,se,n_obs,study_id
0.3018,0.1131,88,1
0.3438,0.1228,88,1
0.2017,0.1158,77,1
0.2333,0.1266,77,1
0.122,0.059,312,6
0.117,0.078,312,6
0.128,0.1237,312,6
0.22,0.082,312,6
0.034,0.1372,312,6
0.347,0.071,140,6
0.352,0.093,140,6
0.341,0.1518,140,6
0.504,0.113,140,6
0.194,0.2074,140,6
-0.029,0.079,172,6
-0.057,0.109,172,6
0.004,0.175,172,6
0.312,0.112,172,6
-0.057,0.1896,172,6
0.028,0.01672756,184,21
0.025,0.01672756,151,21
1.3824300000000005,0.4093076531464637,89,21
0.152,0.272,234,22
0.17,0.262,234,22
0.147,0.267,234,22
0.17,0.27,234,22
0.14,0.269,234,22
0.17,0.266,234,22
0.144,0.267,234,22
1.3824300000000005,0.4093076531464637,188,22
1.185,0.36,188,22
0.102,0.142,234,22
0.081,0.145,217,22
0.201,0.05157205599,2289,26
0.037,0.01672756,2289,26
0.049,0.01672756,2289,26
0.048,0.01672756,2289,26
0.262,0.1190909090909091,1492,39
0.8747,0.1930905077262693,300,41
0.7585,0.2038978494623656,300,41
0.8721,0.3928378378378378,130,41
1.0637,0.3706271777003485,130,41
0.8668,0.2234020618556701,170,41
0.7464,0.23325,170,41
0.7501,0.2066391184573003,300,41
1.344,0.2890322580645161,130,41
0.7843,0.2279941860465116,170,41
1.3824300000000005,0.2189201877934273,300,41
1.211,0.3004962779156328,130,41
1.3824300000000005,0.3032264957264957,170,41
-0.057,0.0801020408163265,3860,42
0.148,0.0932577189666036,165,49
0.49597,0.152138036809816,460,53
0.1677,0.0695850622406639,460,53
0.696,0.1458892,234,54
0.3865,0.1971938775510204,854,55
0.177,0.0184252,976,57
0.916,0.3933577778538965,178,61
0.985,0.2412257052753627,178,61
0.856,0.3983588438215457,178,61
0.95,0.2839191949872909,178,61
0.723,0.2848484921692856,178,61
0.734,0.2779195943773945,178,61
0.924,0.3498606337938863,178,61
0.67,0.2497845136021652,178,61
0.674,0.2423456528140094,178,61
1.006,0.3207245915898917,178,61
0.712,0.2504881499760741,178,61
0.916,0.3933577778538965,178,61
0.882,0.4093076531464637,178,61
0.884,0.2310432050107207,178,61
0.414,0.1818314984199671,176,63
1.3824300000000005,0.4093076531464637,224,63
0.112,0.0192439862542955,2288,74
-0.026,0.0265306122448979,2288,74
0.37528,0.1179,467,76
0.31945,0.08537,467,76
0.3428086,0.0508265,1411,83
0.3623948,0.0507431,1411,83
0.3336399,0.0513208,1320,83
-0.057,0.0576923076923076,1025,89
0.265,0.06747909325,433,90
0.083,0.4093076531464637,257,93
0.297122,0.081966,774,95
0.046272,0.051024,774,95
0.066,0.0423076923076923,712,105
-0.057,0.2656641604010025,712,105
