effect,se,n_obs,study_id
0.3875,0.0961538461538461,198.0,5
0.3866666666666666,0.1036639857015192,198.0,5
0.2108333333333333,0.1109649122807017,198.0,5
0.1766666666666666,0.0768115942028985,198.0,5
0.7483333333333334,0.1811945117029863,198.0,5
0.4241666666666666,0.1243890518084066,198.0,5
0.4025,0.0904494382022472,198.0,5
0.2758333333333333,0.0561778682959945,198.0,5
0.2733333333333333,0.0881720430107526,198.0,5
0.1725,0.1112903225806451,198.0,5
0.4458333333333333,0.1388888888888889,198.0,5
0.3358333333333334,0.2348484848484849,198.0,5
0.1491666666666666,0.1080917874396135,198.0,5
0.5441666666666667,0.073536036036036,198.0,5
0.5041666666666667,0.190251572327044,198.0,5
0.1983333333333333,0.1072072072072072,198.0,5
0.2333333333333333,0.117252931323283,198.0,5
0.09,0.1267605633802817,198.0,5
0.1633333333333333,0.0882882882882882,198.0,5
0.3258333333333333,0.1998977505112474,198.0,5
0.31,0.1428571428571428,198.0,5
0.2749999999999999,0.1029962546816479,198.0,5
0.2491666666666666,0.0647186147186147,198.0,5
0.2516666666666666,0.1018893387314439,198.0,5
0.0499999999999999,0.1249999999999999,198.0,5
0.2875,0.1588397790055248,198.0,5
0.2916666666666667,0.2700617283950617,198.0,5
0.0091666666666666,0.1309523809523809,198.0,5
0.5075,0.0847245409015025,198.0,5
0.0791666666666666,0.2139639639639639,198.0,5
0.255,0.1197183098591549,198.0,5
0.2466666666666666,0.1305114638447972,198.0,5
0.1041666666666666,0.1407657657657657,198.0,5
0.2291666666666666,0.0992063492063492,198.0,5
0.52,0.2241379310344828,198.0,5
0.4516666666666666,0.1601654846335697,198.0,5
0.385,0.1149253731343283,198.0,5
0.32,0.0722347629796839,198.0,5
0.33,0.1145833333333333,198.0,5
0.2058333333333333,0.1419540229885057,198.0,5
0.25,0.1785714285714285,198.0,5
0.57,0.3031914893617021,198.0,5
0.1941666666666666,0.1357808857808858,198.0,5
0.5425,0.0958480565371024,198.0,5
0.0891666666666666,0.2346491228070175,198.0,5
0.1171666666666666,0.18475,1575.0,11
0.2553333333333333,0.1710833333333333,76.0,11
0.2829166666666666,0.3151666666666666,1575.0,11
0.2666666666666666,0.3169378805394989,76.0,11
0.2688333333333333,0.2940833333333333,1259.0,11
0.6343333333333333,0.26775,60.0,11
0.3993333333333333,0.1180833333333333,1575.0,11
0.3708333333333333,0.1168333333333333,76.0,11
0.0543333333333333,0.2383333333333333,1575.0,11
0.3316666666666666,0.1516666666666666,76.0,11
-0.0521666666666666,0.3169378805394989,1575.0,11
0.443,0.3169378805394989,76.0,11
-0.0521666666666666,0.178763440860215,1575.0,11
0.4441666666666666,0.1980234804577203,76.0,11
-0.0454166666666666,0.1384654471544715,1575.0,11
0.0619166666666666,0.1331541218637992,76.0,11
0.3052499999999999,0.1811572700296735,1575.0,11
0.4359166666666667,0.1393150101203792,76.0,11
0.34775,0.008967494336235,14194.0,11
0.4221666666666666,0.0091598139830906,14194.0,11
