effect,se,n_obs,study_id
0.49,0.2437810945273632,152.0,1
0.89,0.6416041626016253,33.0,1
0.93,0.6416041626016253,18.0,1
0.46,0.1575342465753424,81.0,1
0.04,0.1999999999999999,20.0,1
0.0658333333333333,0.0444989939637827,136.0,20
0.067,0.1717948717948718,114.0,28
0.607,0.291826923076923,114.0,28
0.288,0.2594594594594594,114.0,28
-0.3172,0.3774509803921568,114.0,28
0.115,0.1263736263736263,114.0,28
0.644,0.3903030303030303,114.0,28
0.7466666666666667,0.1744548286604361,96.0,40
0.1149999999999999,0.1666666666666666,96.0,40
0.9823199999999996,0.1151241534988713,96.0,40
0.3883333333333333,0.1298773690078037,96.0,40
0.585,0.1976351351351351,96.0,40
0.2766666666666666,0.2515151515151515,96.0,40
0.57,0.1565934065934065,96.0,40
0.2791666666666667,0.1766877637130801,96.0,40
0.4066666666666667,0.1084444444444444,180.0,42
0.0366666666666666,0.1145833333333333,132.0,42
0.3,0.1013513513513513,180.0,42
0.04,0.0952380952380952,132.0,42
0.44,0.1313432835820895,180.0,42
0.04,0.1176470588235294,132.0,42
0.22,0.2178217821782178,180.0,42
0.15,0.1056338028169014,132.0,42
0.3899999999999999,0.0612244897959183,180.0,42
-0.02,0.1666666666666666,132.0,42
0.35,0.1682692307692307,180.0,42
0.08,0.1290322580645161,132.0,42
0.001,0.1,136.0,56
0.2755,0.1235376583439895,99.0,58
0.5334166666666667,0.1572506984370305,99.0,58
0.3196666666666666,0.1084672556512013,99.0,58
0.3665833333333333,0.1243867199190914,99.0,58
0.298,0.0878501011733824,99.0,58
0.3696666666666666,0.1477672267301419,99.0,58
0.3845833333333333,0.1626416222459593,99.0,58
0.27825,0.3836525700205004,99.0,58
0.3634166666666666,0.3331592321864068,99.0,58
0.4348333333333333,0.2356585693996213,99.0,58
0.2005,0.1306280367326188,99.0,58
0.9823199999999996,0.2401,36.0,59
0.8277,0.4204,36.0,59
0.9415,0.2241,36.0,59
0.6611,0.3712,36.0,59
0.8062,0.2802,36.0,59
0.6138,0.3528,36.0,59
0.6251,0.2535,36.0,59
0.4297,0.3194,36.0,59
0.8758,0.5528,36.0,59
0.8705,0.5195,36.0,59
0.5416,0.5383,36.0,59
0.5493,0.5094,36.0,59
0.12,0.0444989939637827,204.0,74
-0.03,0.0555555555555555,204.0,74
0.14,0.08,204.0,74
0.07,0.0619469026548672,204.0,74
0.18,0.0598006644518272,204.0,74
0.04,0.08,204.0,74
0.23,0.0462776659959758,204.0,74
0.09,0.0584415584415584,204.0,74
0.17,0.1,204.0,74
-0.26,0.1925925925925926,204.0,74
0.25,0.0710227272727272,204.0,74
0.14,0.0921052631578947,204.0,74
0.04,0.0851063829787234,204.0,74
0.17,0.0708333333333333,204.0,74
0.06,0.0923076923076923,204.0,74
0.33,0.1024844720496894,204.0,74
0.05,0.0819672131147541,204.0,74
-0.3172,0.1778846153846153,204.0,74
0.29,0.0627705627705627,204.0,74
