effect,se,n_obs,study_id
0.0929849724697417,0.2661033358483667,17,1
-0.2384972221134002,0.2595489322217339,17,1
-0.73538147792091,0.1811104796863067,17,1
-0.490867084911491,0.2328472069451944,17,1
-0.2979674468611524,0.2551211757760622,17,1
-0.751699052841735,0.1762604675628896,17,1
-0.780784708237162,0.1669848665904039,17,1
-0.516666107736506,0.2288255937727635,17,1
-0.0484371856515315,0.2669475388597861,17,1
-0.7736510071355615,0.1693399200167967,17,1
-0.9069663187756232,0.1125712779298376,17,1
-0.9090891456515504,0.1113414713067526,17,1
0.3777079214962056,0.247463810635445,17,1
-0.5432145253315761,0.2243909183718689,17,1
0.2626781266465827,0.2578759671100821,17,1
-0.6653282006644865,0.1927586375756923,17,1
-0.5247463610502647,0.2197940333682885,17,1
-0.5509498549880918,0.2154768753700499,17,1
-0.8810373848264141,0.1221401180443272,17,1
-0.8959917285276802,0.1146585721202968,17,1
-0.8083004684950774,0.1520198128821017,17,1
-0.3578888504704711,0.2410968782749547,17,1
-0.8539000573522146,0.1343762608136532,17,1
-0.7566384091088382,0.168819098023347,17,1
-0.9414892378136164,0.0870241403600693,17,1
0.1063316979726682,0.2567350865524291,17,1
-0.5727225864764728,0.2116583471760877,17,1
-0.7965140910544384,0.1561122038261203,17,1
-0.5305202020921178,0.2188680447472309,17,1
-0.198412869595195,0.2530655163100391,17,1
-0.5640321159281498,0.2611259795963653,13,2
-0.458167131411585,0.2810841297003584,13,2
-0.3521989681110128,0.2959655194210193,13,2
-0.4559420433803338,0.2814457057903293,13,2
-0.0482894286723318,0.023555818864552,1802,3
-0.0724859117213331,0.0235343869225107,1802,3
-0.0822846362646551,0.0235098960756157,1802,3
-0.1039592570139072,0.0322854835446917,954,3
-0.1039592570139072,0.0322854835446917,954,3
-0.3279934580323687,0.0566581409279369,288,4
-0.0815133127998144,0.0597764293865305,288,4
-0.1828203253412544,0.029364009852434,1134,5
0.1512420961397187,0.0295106529053109,1134,5
-0.0270499487521792,0.0298564555763567,1134,5
-0.1687290963067877,0.0539330504266339,344,6
-0.1563674991319583,0.0538833949711478,344,6
-0.131262512337286,0.0542441297040519,344,6
-0.1638186711538267,0.0538174671531275,344,6
-0.1500069379813261,0.0902541743520979,138,7
-0.2592774243343261,0.0534908746655574,333,7
-0.1487997396268722,0.0895278433421681,138,7
-0.4163032328518322,0.0747379032206439,168,7
-0.4468596241550734,0.0480942137861816,356,7
-0.4121622593089711,0.0489816018309212,356,7
-0.1367383013639369,0.0468017913304747,450,8
-0.1141723571857062,0.1532943537038853,48,9
-0.1976572770717755,0.1530926390051948,47,9
-0.2622969153030529,0.1507056837925435,48,9
-0.3103711049581332,0.1503055036589701,47,9
-0.0534390006855448,0.157887956570928,47,9
-0.011345104363454,0.1542934193429752,48,9
-0.0744419684249153,0.1557404339415993,47,9
-0.1617154846903434,0.1541181129263675,48,9
-0.2004032616676503,0.1549063049647243,47,9
0.0339552924304184,0.1580227070800242,47,9
-0.0938293777645549,0.1536226086929479,48,9
-0.1827601713600817,0.1535434092719054,47,9
-0.234722606288286,0.151810640882971,48,9
-0.2949640287769784,0.1510791366906475,47,9
-0.019760376304381,0.1580830104350487,47,9
-0.0134614885307308,0.0514297895148434,384,9
0.0200353736261815,0.0514241256405325,384,9
0.0213496141626123,0.0514227265852167,384,9
-0.9125377037839316,0.1233159059167474,13,10
-0.8791941952537593,0.1436591822310058,13,10
-0.8542519125398589,0.1567434701907991,13,10
-0.8943395047820286,0.1348928363170476,13,10
-0.0763971505289099,0.0181346771457513,3036,11
-0.0573316759785335,0.0206915769560581,2341,11
0.0475485871567156,0.0601248439046875,287,11
-0.0640232992354949,0.0284547996602199,1241,11
-0.0724336475200317,0.0257778569115406,1508,11
-0.0155539757133963,0.0404507757647051,622,11
-0.0031291128082982,0.0292476258408283,1180,11
-0.1217395957985343,0.0431957198096817,539,11
-0.0660015929999453,0.0181271980774497,3036,11
-0.0380998261082282,0.0206795516339646,2341,11
-0.1045756870940041,0.0593279061422193,287,11
-0.0216628797409798,0.0284488420694796,1241,11
-0.0675196924000189,0.0257438096593679,1508,11
-0.051684116040767,0.0402372983941541,622,11
-0.0596905729671106,0.0291333805674338,1180,11
0.0494190052813078,0.0432618833118334,539,11
-0.4027639122390367,0.1643934335669537,37,12
-0.1694664818475356,0.2203725381632451,26,12
-0.4428433252256621,0.1610339364456948,37,12
0.5494785549561482,0.1578961364816513,35,12
0.546404032119756,0.161181130418806,35,12
-0.5471329268805109,0.1554354905910538,35,12
-0.006356728506385,0.0195999128946873,2606,13
-0.0059416657643979,0.0196074970225133,2606,13
-0.0055431340420802,0.0196529297855572,2606,13
-0.0023831237995374,0.0196607713461838,2606,13
0.1412688213008987,0.0594816089687994,299,14
0.2178116749606764,0.0586416047971052,299,14
-0.0257418284452314,0.0600642663722066,299,14
-0.0218435784591215,0.0600698407625843,299,14
0.0553772104066004,0.0599919779404837,299,14
-0.0491902240272854,0.0189193169335713,2802,15
-0.0476801740543027,0.0189207039898026,2802,15
-0.0334195647763671,0.020278862121582,2444,15
-0.0489691375175841,0.0195355601798873,2629,15
-0.0377780286760894,0.0210527713984399,2268,15
-0.1992559863892407,0.1633245790075744,40,16
-0.1588326531236394,0.0451583033390739,488,17
-0.317925741478674,0.0408761667615437,551,17
-0.1833001838901694,0.0411036775996137,582,17
-0.5151515151515156,0.1515151515151515,48,18
-0.5033518184391016,0.1349468682142363,48,18
-0.4920803429901421,0.1393995305921081,48,18
-0.0531346189258119,0.1765269731754549,48,18
0.4255286533366116,0.1599731779460944,48,18
0.3873166675760958,0.1439838912922289,48,18
0.1992836734484194,0.1569162783058421,48,18
-0.5069870514206274,0.1362868417797384,47,18
-0.5011549399461652,0.1403795349989257,47,18
0.4120353127924274,0.1440682911861633,47,18
0.2438527056860687,0.1573243262490765,47,18
-0.5170080071670058,0.1353424102531428,47,18
-0.5166746401022662,0.1388910322855554,47,18
0.4412697213558741,0.141887370210892,47,18
0.3169470832917913,0.1538578074231996,47,18
0.0950274286267172,0.1759767196791057,48,18
-0.1314323863014971,0.1752431817353294,48,18
0.2753112044312033,0.1699451879204954,48,18
0.298057492428408,0.1528499961171325,48,18
0.1523122555772299,0.1603286900812939,48,18
0.1143247656483233,0.1633210937833196,48,18
-0.0365009247499381,0.0118875663068692,7075,19
0.003320502812094,0.0118954276565126,7075,19
0.0039509722721357,0.0118954003892258,7075,19
-0.0378838483027526,0.0117930436865318,7188,19
0.009046558081723,0.0118010324827253,7188,19
6.901470984660284e-05,0.011801515383769,7188,19
-0.0192399455008113,0.0161702767766191,3831,19
0.0191483132469398,0.0161703052274303,3831,19
0.0093542486688654,0.0161725629159924,3831,19
-0.0880793527003848,0.0272626567882143,1343,19
0.0703062543726672,0.0273013016467632,1343,19
0.0196806068849865,0.0273637266899362,1343,19
-0.074301474539652,0.0271413213860101,1358,19
0.0091125797204334,0.0272154226549857,1358,19
0.008311658215592,0.027215612571786,1358,19
-0.0528001580087314,0.036884320905621,741,19
-0.008660047825503,0.0369344577035446,741,19
-0.0106585537336448,0.0369337446541475,741,19
-0.0699585157933763,0.0347512974904099,832,19
-0.0117979950045972,0.0348342261267123,832,19
-0.0172574065869469,0.0348314628360396,832,19
-0.0649986756810226,0.0344303156175407,848,19
0.0150553263132606,0.0344993674398462,848,19
0.0005490116841787,0.0345032727672347,848,19
-0.009199322507222,0.0468787393518712,463,19
0.0120744574875286,0.0468773055398171,463,19
-0.0105066903177408,0.0468781354282315,463,19
-0.0168720199151596,0.0168430301902194,3532,19
0.0120315776475848,0.0168442087066187,3532,19
0.0232680582256284,0.0168408673171506,3532,19
-0.0076510097288983,0.0167266902349018,3582,19
0.0199412046064898,0.0167238537035258,3582,19
-0.0006630592348715,0.0167271761524419,3582,19
0.012044591198744,0.0225802995440191,1969,19
0.0290586048292242,0.0225724014728968,1969,19
