effect,se,n_obs,study_id
0.3018,0.1131,88,1
0.3438,0.1228,88,1
0.2017,0.1158,77,1
0.2333,0.1266,77,1
0.34,0.0448,967,2
0.371,0.043,967,2
0.36,0.0454,967,2
0.1979,0.0401,967,2
0.361,0.0455,967,2
0.00822,0.00348,175,2
0.00688,0.00294,192,2
0.00977,0.00265,204,2
0.00984,0.00232,212,2
0.00522,0.00188,187,2
0.349,0.052,967,2
0.359,0.0559,967,2
0.395,0.0665,967,2
0.437,0.0679,315,2
0.304,0.0547,652,2
0.334,0.0645,516,2
0.379,0.0582,451,2
-0.330299,0.0990283,135,3
-0.330299,0.0992746,135,3
0.003,0.001,590,4
0.013,0.003,590,4
0.008,0.002,590,4
0.004,0.002,590,4
0.002,0.002,590,4
0.002,0.002,590,4
0.17,0.054,799,5
0.089,0.029,684,5
0.167,0.054,799,5
0.068,0.029,684,5
0.122,0.059,312,6
0.117,0.078,312,6
0.128,0.1237,312,6
0.22,0.082,312,6
0.034,0.1372,312,6
0.347,0.071,140,6
0.352,0.093,140,6
0.341,0.1518,140,6
0.504,0.113,140,6
0.194,0.2074,140,6
-0.029,0.079,172,6
-0.069,0.109,172,6
0.004,0.175,172,6
0.312,0.112,172,6
-0.321,0.1896,172,6
0.4301542,0.0727841285956006,313,7
0.251,0.013163415145794,5017,8
0.251,0.013163415145794,5017,8
0.235,0.0147141694320956,5017,8
0.242,0.0137609462072102,4167,8
0.242,0.0137609462072102,4167,8
0.217,0.0153465346534653,4167,8
0.099,0.03886925795053,2328,8
0.133,0.0417976115650534,2196,8
0.7953,0.171400862069,763,9
0.4475,0.1420634920635,777,9
0.5281,0.1148043478261,1322,9
0.5564,0.3589677419355,218,9
0.7953,0.171400862069,763,9
0.4475,0.1420634920635,777,9
0.4799,0.1927309236948,716,9
0.6423,0.1247184466019,824,9
0.4858,0.1481097560976,819,9
0.568,0.1427135678392,721,9
0.3052,0.07844,2145,10
0.2683,0.068961,2145,10
0.446,0.02,2612,11
0.378,0.0219,2612,11
0.429,0.0193,2612,11
0.421,0.0227,1919,11
0.365,0.0249,1919,11
0.413,0.0219,1919,11
0.441,0.0212,2295,11
0.13,0.0293,2295,11
0.446,0.02,2612,11
0.439,0.0228,2111,11
0.495,0.0416,500,11
0.366,0.0276,1201,11
0.544,0.0324,1209,11
0.0747,0.0319094404100811,410,12
