premium_w;se_premium_w;interviewer_rated_beauty;photo_rated_beauty;software_rated_beauty;dummy_beauty;beauty_penalty;number_of_raters;salary;study_outcomes;teaching_research_outcomes;athletic_success;electoral_success;male_subjects;female_subjects;age_subject;high_skilled_workers;prostitutes;other_dressy_occupations;western_culture;panel_data;data_year;ols_method;iv_method;quasi_experimental_method;ageexp_control;education_control;ethnicity_control;cognitive_skill_control;noncognitive_skill_control;physicality_control;published_study;impact_factor;citations
-9.636999999999999;23.51963998777097;0;0;0;0;0;1.6094379124341;0;1;0;0;0;0;1;3.044522437723423;0;0;0;0;1;3.688879454113936;1;0;0;0;0;0;1;1;0;1;0;.1541506798272584
-9.636999999999999;23.51963998777097;0;1;0;1;0;3.332204510175204;0;1;0;0;0;1;0;3.277144732992177;0;0;0;1;1;3.650658241293739;1;0;0;1;0;1;1;0;0;1;1.324;.6931471805599453
-9.636999999999999;3.783451625919256;1;0;0;0;0;0;1;0;0;0;0;0;1;3.6198508677035;0;0;0;0;1;3.737669618283368;1;0;0;1;1;0;0;0;1;1;4.744;1.435084525289323
-9.636999999999999;9.177939514844912;0;1;0;0;0;2.484906649788;1;0;0;0;0;0;1;3.931825632724326;0;0;0;1;1;3.091042453358316;0;0;0;1;1;0;1;0;1;0;0;.2006706954621512
-9.636999999999999;9.446376129600097;0;0;1;0;0;4.442651256490317;0;0;1;0;0;0;0;4.107096246147264;1;0;0;0;1;3.772760938094638;1;0;0;1;1;1;1;0;0;1;2.731;1.09861228866811
-9.636999999999999;3.984640273802666;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;0;1;0;1;1;1;1;0;1;1;0;0
-9.636999999999999;12.4;1;0;0;0;0;1.386294361119891;1;0;0;0;0;0;1;3.332204510175204;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;0;0;0;1;1.71;1.236762627148927
-9.636999999999999;3.671034326327456;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;0;1;0;1;1;1;1;0;1;1;0;0
-9.636999999999999;3.320533561502221;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;0;1;0;1;1;1;1;0;1;1;0;0
-9.636999999999999;10.81632653061224;0;1;0;1;0;3.332204510175204;0;1;0;0;0;0;1;3.277144732992177;0;0;0;1;1;3.650658241293739;1;0;0;1;0;1;1;0;0;1;1.324;.6931471805599453
-9.636999999999999;3.057657987883295;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;0;1;0;1;1;1;1;0;1;1;0;0
-9.636999999999999;15.08429096941583;0;0;1;0;0;4.442651256490317;0;0;0;1;0;1;0;3.341447377256381;0;0;0;0;1;3.637586159726386;1;0;0;1;0;1;0;0;0;1;5.589;1.321755839982319
-9.315941380881231;3.265191335477184;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;1;0;1;1;0;0
-9.27657380748991;8.10914685681742;1;0;0;1;1;1.09861228866811;1;0;0;0;0;1;0;3.676300671907076;0;0;1;0;1;3.49650756146648;1;0;0;1;1;1;0;0;0;0;0;1.131402111491101
-9.139601928091874;1.680415594135314;1;0;0;1;0;0;1;0;0;0;0;1;0;2.19722457733622;0;0;0;1;1;3.044522437723423;1;0;0;1;1;1;0;0;1;1;2.518;2.850957789355288
-9.076125068106071;3.228296518127159;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;1;0;1;1;0;0
-9.026999999999999;3.4102;0;0;0;0;0;0;1;0;0;0;0;0;1;3.760734891214364;0;0;0;1;1;3.828641396489095;1;0;0;1;0;1;1;1;0;1;2.774;1.178654996341646
-8.928571428571429;13.31632653061225;0;1;0;1;1;3.332204510175204;0;1;0;0;0;0;1;3.277144732992177;0;0;0;1;1;3.650658241293739;1;0;0;1;0;1;1;0;0;1;1.324;.6931471805599453
-8.072118959107804;2.699705337494249;0;1;0;0;0;3.218875824868201;0;0;1;0;0;0;0;3.53968314775181;1;0;0;1;1;3.80666248977032;1;0;0;1;1;1;1;0;0;1;.64;1.6094379124341
-7.872431652061515;2.79478241426437;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;1;0;1;1;0;0
-7.709600000000001;23.51963998777097;0;0;1;0;0;4.442651256490317;0;0;0;1;0;1;0;3.250374491927572;0;0;0;0;1;3.637586159726386;0;0;0;1;0;1;0;0;0;1;5.589;1.321755839982319
-7.692569417480147;2.753275744745592;1;0;0;1;0;1.386294361119891;0;1;0;0;0;0;1;2.727002794018897;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;1;0;1;1;0;0
-7.680980135160221;9.967006854398759;0;1;0;0;0;3.218875824868201;1;0;0;0;0;0;0;3.92296294546648;1;0;1;0;1;3.540959324037314;1;0;0;1;0;0;1;1;0;1;4.337;2.484906649788
-7.546298707873307;13.14267976215593;1;0;0;1;0;1.386294361119891;1;0;0;0;0;0;0;2.772588722239781;0;0;0;1;1;3.624340932976365;1;0;0;1;1;1;1;1;1;1;6.604;.7884573603642703
-7.503557345646072;8.787162052163623;0;1;0;0;0;2.484906649788;1;0;0;0;0;0;1;3.931825632724326;0;0;0;1;1;3.091042453358316;0;0;0;1;1;0;1;0;1;0;0;.2006706954621512
-7.225651367144714;1.948261321289961;0;1;0;0;0;2.484906649788;1;0;0;0;0;0;1;3.931825632724326;1;0;0;1;1;3.091042453358316;0;0;0;1;1;0;1;0;1;0;0;.2006706954621512
-7.092755423609312;21.15093580161973;0;1;0;1;1;1.6094379124341;0;1;0;0;0;0;1;3.091042453358316;0;0;0;1;1;3.449987545831587;0;0;0;1;1;0;1;0;0;1;2.518;1.658228076603532
-6.918959107806691;2.847308274817568;0;1;0;0;0;3.218875824868201;0;0;1;0;0;0;0;3.53968314775181;1;0;0;1;1;3.80666248977032;1;0;0;1;1;1;1;0;0;1;.64;1.6094379124341
-6.745900000000001;8.673299999999999;0;0;1;0;0;4.442651256490317;0;0;0;1;0;1;0;3.341447377256381;0;0;0;0;1;3.637586159726386;1;0;0;1;0;1;0;0;0;1;5.589;1.321755839982319
-6.680418970387417;7.058231868455598;1;0;0;1;0;1.386294361119891;0;1;0;0;0;1;0;2.727002794018897;0;0;0;1;1;3.332204510175204;1;0;0;1;1;1;1;0;1;1;0;0
-6.657459745900709;5.50674524701927;1;0;0;1;1;0;1;0;0;0;0;0;1;3.713572066704308;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;11.49;4.060443010546419
-6.562406762804575;2.744654400795624;0;1;0;0;0;1.791759469228055;0;0;1;0;0;0;1;3.86702563949741;1;0;0;1;1;3.433987204485146;1;0;0;1;1;0;0;0;0;1;2.083;3.23649742621802
-6.546855159599829;10.30819507390136;0;1;0;0;0;3.218875824868201;1;0;0;0;0;0;0;3.92296294546648;1;0;1;0;1;3.540959324037314;1;0;0;1;0;0;1;1;0;1;4.337;2.484906649788
